您要办理的那个地址哪里报一下 十七号省军区第六感觉吗稍等一下七 
您好很高兴为您服务唉你好我刚才收到一个短信说的就是现在如果每个月增加二十块钱流量费然后就是每个月可以增加两个g是吗 哎 
你好我想问一下我这个流量的是是是跟我说的您这张卡的话是一块钱一天有五佰兆的上海本地流量 它这个叠加也是按月收费的吗对您每天本地流量使用的时候先收一块没用完五百兆之后是自动叠加的这种叠加一元是的 
唉你好我想问一下一个中国移动有没有那个呃流量流量卡那个东西啊 那方法就是我办那个四g实际路由器上面无线路由器上面不回来的 
喂先生你好 呃我想问一下就是说或者我这边好像回音很报一下 
喂你好 我就问一下你们那个四g流量是不是升级是什么意思啊刚刚发个短信 
唉你好你好我想我在你们那边不是华信息就是说我现在这个号码用的那个月功能服务费是五十八元的不是说加二十元对流量增加以后我想了解一下这个再加二十元的话 我就是额外送了两个g是送到明年六月底对吧 
喂你好我想问一下有没有流量套餐那个二十块钱多少套餐 两百兆啊嗯对八月份加十块是没有套餐的嘛 
对喂你们是上海的移动对吧 唉我我想问一下我现在在新疆啊就是我想这个流量啊十块钱的流量是什么意思啊喂 
呃您好我想问一下现在就是有多少兆的那个流量啊多少钱呢 订的哪些嗯是的是的啊 
噢叫什么我问一下我是幺三九幺七零零的用户对吧 我这个流量每个月现在二十四啊就是一千二十四其他说晚上用的 
您好很高兴服务哎我想问一下就是我明天要去那个外地就是我现在这个套餐我如果去外地的话这种流量什么接触过弯呃没有就是国内的 就是我没有什么更在上海不一样的消费是吧什么漫游什么这种什么的 
喂你好您好那个我想咨询一下就是在那个上海的掌上营业厅的app上有一个校园这张卡是吗对我想问一下就是这个卡是怎样的一个套餐 只有到二十周岁那那个每个月流量是多少 
唉你好你帮我查询一下我这个里面有有一个什么早晚高峰什么流量包啊十块钱的是什么东西啊 一个g啊帮我取消掉吧 
唉你好是这样子噢我收到我看有上面你们现在好像有新的套餐了是吧 可以开卡银行这是不是我这流量是吧 
唉喂你好就是我想问一下之前开过一个六十元六g的那个办法办的套餐然后 就是六十块钱六个g用半年嗯嗯 
喂你好我想问一下就是你那个咪咕那个不是有二二十四二十四点的套餐的是吧 唉对 
您好很高兴服务喂你好哎我想了解一下现在那个移动的收费标准有没有一个就是月租八十八的那个嗯两个g的流量免费通话五百分钟的有有这个套餐吗没有的 呃五十分钟通话两个g八十八一个月是吧噢那可能是说错了不是那个那应该是这个这一种的八十八一个月五十分钟免费通话两个g的流量接听全免然后拨拨打是一毛九吗 
喂你好我想问一下我这我这边是华新镇的坚强村这边的宽带我们这边的宽带是移动的宽带是付款是现在多少兆的 呃是华新镇娟长春 
哎你好我想咨询一下我现在如果说嗯加那个流量加油包啊现在还有什么呃那能加吧 呃大概那有有几个档次比如说没有 
好很高兴服务喂你好就是我刚刚收到一个短信息就是我呃就是不换卡就能够增加一个副号码我想这个是什么意思就是和多号一个姓名号 那我那个呃就是我想问一下就是说我没有呃我没有插卡的手机也能用吗还是说是只能在我插卡的这手机里面用 
你好呃 是移动有一个就是可以赠送查我的那个流量送给其他号有的是吧 
啊我想问一下就是什么申请一个八十八的月月租一个月的流量是多少了 噢 
你把我这个月的开了就叫我流量 就是这个这个月用的吧 
您好很高兴为您服务唉你好呃您好就就在那个手机把那个移动看到新版那个流量八块钱一个月那个是多少个g啊五十个g吗 就是那个行新的呢流量至尊包 
喂你好就是我想问一下今天那个幺零零八六发了一个就说我已经开通那个叫它这个是英文字母的时候al一批装自动开通了他说它是免费送她这个意思说是用打电话的是呃数据流量还是就用用那个微信打电话 这个就这个就这个的是就是这个是打电话或者就打电话是那个视频的那个流量是吧 
我想问一下这个我就是这个包月的这个流量啊用完了你们有什么优惠元可以我嗯行唉也可以用了 呃不是每个月都要用 
哎你好请讲哎你好我想哎你好我想问一下就是流量安心包的话是不是只十块钱一百兆 呃就是说那个安心包这个一百兆十块钱对吧 
喂你好 哎我想问一下那个有什么套餐可以让我换了吧我想把我现在这个套餐换掉 
我想问一下有什么好的那种流量流量套餐吗 我就不够用公司有个在更好了 
唉你好那个我想问一下我现在的流量额度可以提高啊流量额度量用额度什么我是那个 一百一个七十包月是多少啊嗯通话时间五十分钟一个g流量的话是六十八的 
唉你好那个我那个在你们网站上看到有一个就他这个四g套餐有预付费和后付费的这两个有什么区别 可以什么 
唉喂呃我我看你们就是话费那个账单里面有一个五元呃流量是显示是什么 对对对对对唉就是 
嗯嗯唉你好我我想问最低现在给我哪些套餐 呃我输入这个号码就是发票什么月租都是打电话过来两毛五一分钟就直接打电话有点特殊了 
额你好那个我报一下手机号呃我就是收到短信说我的流量呃呃剩的不多了我想问一下可以因为还有半个月时间吗可以买一些什么样的流量其实那是够的然后我之前呢也收到大客户经理给我的一个电话说呃好像每个月还有送流量的呃当时也没操作 对的幺三八零幺七三七八零二 
喂你好我是解决完了唉喂你好我是这样的这我我就是这个手机的机主我想问一下因为我们这里办理一个集团套餐然后呢我听我同事再说我们下个月就是我们这个集团套餐可以升级为五g了是不是 这个需要额外再增加什么费用吗 
唉你好是这样子的我查一下我上个月的那个话费吗有有两个那个事项我不是很明白 噢就是它上面有显示一个视频流量套餐费二十四元那个是什么东西啊 
呃请帮我看一下有什么套餐比较划算的多一点流量啊 噢行我需要现在就是开一点流量嘛你看哪个比较合适吗 
唉你好请问一下就是我的流量套餐里面有一个视频本地流量是什么意思啊 噢绑定使用那国内夜间流量是什么 
哎你好我想问一下我选一个套餐有没有那个流量多一点的 打电话两毛 
呃不好意思我充 呃我现在只需要 
唉你好啊我那个我想问一下呃我想换个套餐能帮我看一下吧 流量多一点啊 
唉你好那个帮我查一下我这个手机套餐是什么 呃那个帮我改一下可以吗 
您好感谢您的来电才能 喂你好帮我查一下我现在这个上海手机号就是用的是吧耳朵的套餐 
我想问一下这个呃有没有移动的这个套餐有没有不限流量的 都有封顶的 
嗯您好那个小姐呃我想问一下啊就是比如说我短消息方式去对方接收到有没有类似这种他收到或者点开始就回执服务 拨打是一千六 
喂你好你好我想问一下现在我的这个移动卡不在我在本地在外地可以流量省内流量 呃办那个视频吧 
哎你好我想咨询一下现在国内拨打加拿大电话都 啊一毛九 
唉你好先生因为我想我想咨询一下这个宽带是这么多呢 呃玉龙家园就是浦东新区这边浦东新区开幸福路康南路那边 
呃喂你好那个你能帮我查一下我上次收到一条短信啊就是说呃十块钱可以办理那个十g的本呃本地流量 啊 
你好 唉你好我这边那个有个流量这个想续加一些是有什么优惠的吗比如说比较合算一点的我想收到你们这个短信说什么三十三十元好像有多少个g的那个那个就是套餐有吗 
我问一下那个流量今天最后一天不够了一九块钱的流量对吧 上海 
喂你好我想请问一下这个我想那个改卡套餐改变最低消费多少钱呢 可以返还十八块钱一个月的对吧 
你好我想问一下就是我刚才下载其他的 我是我刚下载的那个移动掌上营业厅然后想有一个任我享的那个流量包嘛它是六十元六十元六期还有个六十元十二g我想知道这两个有什么区别吗 
啊你你好我想换个套餐啊我的流量够你给我介绍一下好吧 我通话不够的呃流量不够 
喂现在有哪些要不套餐 现在我想买流量呢流量你给我介绍一下哪个流量用我我用的划算 
你好嗯我想问一下就是我那个想装那个看电视跟宽带同时 这种套餐你们这里有吗 
唉你好你帮我看下我这个手机前两天就接到你们一个电话说帮我更改的那个套餐我想问一下现在这个套餐是什么情况你帮我看一下下个月改的是一百一十八套餐 一百一十八二三要要不然他不是说还是a他说升级不加价我本来是八十八加十块九十八这边是要要办的话它收费还是按照九十八周吗 
喂你好我想问一下现在有什么流量套餐吗 呃多一点呢 
唉先生你好啊 我发现你们那个刚才有一个新 
唉你好 啊我想问一下我那个手我这个手机的套餐现在有什么内容啊 
呃我想问一下就是那个有一个那个什么二十块钱一个月的那个流量嗯看看电视的那个软件那是什么套餐呀 嗯对然后还有说什么享受三个月嗯嗯零元什么意思啊 
喂你好我想查询就是我现在周要去美国嘛然后这边有没有这个美国可以无限量的流量的那种 你刚才说那个三十块钱已经是无限量了吗 
唉你好呃你好客服那个我想本机再加一点流量从帮我看一下我还能加什么的 四百兆多少钱呢 
哎我想问一下我流量嗯不够现在有什么好的 多少 
哎你好我想咨询一下这个宽带业务 还没办 
喂移动我现在流量不够有什么套餐有什么优惠的开梅增加流量 我当月使用 
噢你好我想咨询一下那个八元套餐的费用啊 呃就是移动的八元最低套餐吗 
唉你好呃我想那个转一下那个更换过一下那个流量套餐啊呃那个五十元两g的 啊这个是月租吗对 
哎你好我想问一下我收到呃什么百兆宽带境外加的这个活动通知啊我想问一下宽带那种 好吗好的好的好您稍等不要挂机为了 
唉喂你好我想问一下就是咨询一下咱们这边有什么就是呃国内流量 国内流量套餐吗对对比如说就是在外地吗然后我要出去出出去几天然后就是想问一下有什么套餐呢 
喂你好 没事麻烦大一点好吧谢谢你 
您好您说 我也是移动用户 
喂你好我想问一下我这个月我看到有一个什么视频流量包扣了我十块钱的是什么我都没办过 是什么 
唉你好先生我想问一下现在我这个套餐还要更改吗 对的 
唉你好 噢我想问一下这边就是上海这边是不是有一个那个送流量的一个套餐啊 
唉先生你好唉是这样的就是呃就是这个情况就是我想问一下这个套餐现在是享受一个什么样的一个资费服务就是他什么套餐因为可能要换四g套餐吗先了解一下目前的什么套餐情况你这边可以短信给我或者是哎先跟我说一下 噢三十块钱里面包含什么东西呢 
您好很高兴为您服务哎你好我想问一下我这个手机上面现在用的那个套餐有哪哪些 噢就这么多是吗 
啊小姐 呃我想问一下我这个手机在上海用吗我我是姓朱在国外的我想带到外国去因为我这个手机经常要收收银行的那个就是什么任正号码什么的那怎么办啊 
呃我想问一下这个嗯套餐是不是有一个四十八号的是吧 四十八块 
喂你好我就是这个卡办那个流量有没有那个流量加油包什么东西的 啊 
喂你好这个呃我刚才收到一个短信 嗯说我在什么国际漫游啊然后漫游到十月十号结结束我不懂什么意思 
哎你好我想问一下然后那个套餐里面是吧有一个那个流量不限量可选包 什么意思啊 
喂你好喂我就想问一下我的手机那个昨天晚上有个信息发来是说明什么免费升级的那个 啊 
唉你好我昨天有到营业厅去申请这个新的门号那呃因为我我这个月是十八块的方案然后下个月它会帮我回复到三十八块那我的流量刚才信息有通知已经用完了但是我还要还要在上海几天那我想请问一下有什么呃是不是是不是我这个这个月呃我到十一月底之前我的流量是不是嗯要呃 你说免费 
喂 嗯就是这样的哎呀我要重新说一遍然后就是我现在这个月的那个流量不够了我我怎么办怎么讲你们几个客服你们几个客户给出来呃就是客服给出来的结果都不一样的呃幺三八幺三八幺七三幺八幺五二 
唉你好小姐我想问一下啊这个那个那个自选套餐的话是八十八元里面是呃烦是叫什么噢 嗯嗯八十八元套餐是一个月还有多少什么 
唉你好就是想我现在这个手机流量老是不够用我想看还有其他的套餐有哪些我怎么查呢 就是 
唉你好唉我想请问一下现在有没有呃一个宽带套餐两个是连上网跟那个电视信号都有的这种套餐 噢唉那我如果把那个小区告诉你你能帮我查一下吗可以安装的呀我想申请一下 
唉我问你问一下我那个假如那个手机别人的手机当中上面可以吧不够不是个人家庭看到可以了 我的手机打个人加的没别人的手机六我能市面可以吧 
哎你好我想问一下呃我那个手机没有漫游 噢 
你好现在我还可以开什么流量比较便宜一点 呃一百元的今年啊是对吧还有五天大概用一个g的流量左右 
喂你好我想问一下就是有没有那个手机流量的叠加就是可以叠加一个我需要这个月增加一下 对对对 
唉你好那个请帮我查一下现在宽带有没有什么 套餐嗯 
唉我就是问一下那个你们是呃短信过来了升级那个流量就是豪华版四g套餐了 通话功能什么意思啊 
科技助老卡还有吗 公司 
喂你好我想问一下我这个号码现在用的那个套餐是多少的呀 五十八元是吧那我想问一下这个五十八元以下的有什么套餐能给我推荐一下吗 
唉你好问一下有没有这个那个优惠点的流量 流量就是我包包套餐那个便宜的意思 
刚才我收到一条短消息说什么那个小模卡是什么东西 就是想问什么电视零七八 
呃 诶再见对不起啊你好啊您好不客气我我想跟你请教一些东西啊嗯嗯你就是我这个卡电话号码 
哎我想问一下我这个月租费八十八块钱套餐它每个月是有什么功能呢 你说是两百分钟免费的对吧然后流量是七百兆然后呢国际一些呃叫长途是一毛九一分钟但是它这个现在它用不了我想把这个话套餐改一下 
呃我想再我想问一下前面打过电话的啊那个宽带的话现在不是有个幺二幺二八我想问一下你们不是有一个什么魔力电视吗 呃想问一下就是如果需要这个的话呃是不能办理 
喂你好 但是我请问你一下啊他们怎么说现在有这个手机可以申请一个套餐这个申请专门申请流量的对吧 
哎你好我想咨询一下就是那个二十八元的是那个非四g飞享套餐那个现在可以办理的话也是那个送那个五十分钟的那个通话的送到六月里面的呀嗯嗯呃然后就是每个月也是送十块钱送六个月的是吧对是的噢那有这个的话那我那个那个刚刚申请办了那个那个自选的我就刚才改那个飞享的好了飞享套餐啊 知道的 
喂你好 那我我刚才看到那个短消息什么那个子比如说宽带家江什么他说那个什么都是什么意思报给我帮您先看一下您等一下啊 
喂你好 你你这个有一个套餐是五元三百兆的流量是是本地的还是全国的 
唉你好我想问一下我这手机这个有没有更高的套餐了我现在每个月唉我现在是一每个月消费是多少的 呃我这有没有更高的套餐 
我想问一下新装宽带稍等 我是宝山区彩铃好行行行 
噢那个我看刚接到个短信说是积分可以换流量 噢那个是不是月底就完了啊 
哎你好我想咨询一下你们那边的宽带业务 噢其实应该是有一些中国直接在那个张文路一百二十五弄 
唉小姐你好 g的流量这个我想问一下我可以购买吗因为我有后面有半个月到外地我想有没有合适的流量 
问一下就是说那个呃我这个套餐就是我现在这个套餐然后那个呃如果是到外地的话这个还是你们现在目前还有那个五块钱那个什么长途那个包对吧 啊 
唉你好我问一下就是刚才开通那个任我看那个是看视频什么都可以吧 就微信视频什么的无所谓是吧 
您好兴您服务唉喂 哎我想问一下那个宽带上面那个猫藓是ios是什么意思啊 
再见 你好是这样我办的宽带你们不是说那个那个什么魔百盒吗 
喂你好我的这个手机办的是三十八元套餐的然后当时二十八元档期的还有什么套餐 那你帮我开通那个开通那个一百二十八元的 
呃是这样子呃我我那个看到我移动又发短信它说什么加个多少钱一个月有两g的的流量是什么东西 这个月需要扣就十八块钱 
本月我的流量不够了问一下有什么可以叠加的吗 嗯可以分享的对吧 
喂你好我想知道我的套餐我也知道我的套餐里面 三十八元套餐包括什么东西啊 
喂你好 所以我想咨询一下你们这一你们这有那个幺零零幺零零八五八 
你好我咨询一下我这个呃就是越南那边那个就是有没有那个国际漫游 国内打 
唉你好我就是这个前天宽带马上到期啊他说要给我可以自己去的话有个套餐是吧 好吧 
那我想问一下我刚刚看过那个查过了那流量至尊包是什么什么一个概念 对啊就四十个g那我刚才问你我之前我我有办过这个办流量至尊包你为什么没有跟我说呀 
喂你好 唉我那个我想问问你们那个套餐呃是什么套餐加流量是什么价钱的 
噢那个我那个流量用完了我觉得每个月有有流量稍微便宜点的业务流量的是吧 噢那你现在你给我加个十块钱 
喂你好 一下就是我昨天交了一个什么幺三九的一个信箱的软件 
呃您好我这个手机你现在这个套餐想换一个换一个不是流量不用这么多的大概六十八的那个套餐 嗯两百二十分钟通话那我现在这个呢 
呃我流量不多了有什么优惠对吧 大概还需要多少兆呢这个月呃那现在现在还有什么优惠这个几块钱那要多少兆的你看看 
噢 唉你好我问一下我想你好兆呀为您看小一点不好意思没问题那个我这个月不是五十块钱的那个什么套餐是吗 
唉你好唉我想了解一下那个四g套餐一个六十八七十八的一个什么样的套餐 呃所以我说一个不是有四g套餐七十八到是一百分钟免费通话加两个g再送两年的也有的没有的是吧 
呃您好我看到你们网站上有一个流量是真包啊 性子的这个本地流量呃如果我要办理的话它是有什么规定吗 
我这个手机不是上海的有什么还有流量那个帮忙 哦好好 
哎你好我想我想问一下刚才来了一条短信就是那个来条短信说我那个包还是呃呃就是我兑换 我没听清啊喂 
喂你好 哎请问一下那个呃加那个十块钱九八套餐怎么加的 
哎你好我想换个套餐我想你帮我查一下现在都有什么操作 噢不要我想要一个那个话费和流量都有的因为前面这个是跟有一个宽带在一起办我那个宽带取消了所以就不想再用这个 
哎哎你好我想问一下就是你们移动现在已经上门刚开卖光纤送的那个包呀嗯那就带不带那个路由功能呀 噢他是带的是吧 
唉先生你好我想咨询一下咱们在这个国际漫游啊 国际漫游 
哎你好我想查一下就是刚刚有一个不是幺零零八六打电话给我的他说现在有一个什么二十八分三十八的一个语音套餐你能帮我查一下是不是有这个语音套套餐吗 对他说是呃我现在用的是二十八元的语音套餐嘛他说三十八可以有两百二十分钟然后每个月还返我什么十六块你能帮我查一下吗 
喂你好 嗯帮我看一下我的手机套餐是是信息情况了现在 
嗯你好我想问一下就是现在什么有什么套餐升级的是什么 共是九十八的是吧 
喂你好我想把我这个手机号是苏州了我现在在上海我那个流量都是省内流量现在没有流量现在怎么搞啊 好好好好 
唉你好我想请问一下我现在已经二十八的套餐没有再 好吧就是说我 
等一下这个是这样的我想现在有什么流量套餐可以换的 嗯 
喂喂你好我想呃那个我想查一下那个呃宽带呃 呃我号码换 
喂你好麻烦你帮我查一下我现在套餐的那个流量是呃多少兆的 噢噢你是不是有个那个是有两是两g的那个那个上网流量的是哪张 
唉小姐你好我是本机机主我想就是说更换一个流量套餐这边呃五我听人家这样的就是说那个有一个六十八块的那个套餐然后它还有两g的呃流量然后这这样的这个套餐现在还有吗 流量跟我现在这个套餐是一样的是吗 
唉你好我那个我想这个八元的返还这个资费到期了有没有更优惠的这种套餐 呃都可以 
哎我想问一下你们那个流量套餐是多少 一百五十一百五十分钟 
呃你好我想问一下最近有没有什么优惠的那种套餐流量比较多的 呃不好意思刚刚没听清你能重复一遍 
喂你好 唉你好我想问一下你们那个四g飞享怎么个什么怎么怎么算 
您好很高兴服务喂你好你好我想问一下我想问一下就是因为我下个月开始在上海不不去外面了我我嗯那本地方有什么本地有什么套餐呢 噢一样有哪些套餐呢最低多少的 
哎你好我想问一下你那边有什么全国流量包比较划算的有吗 就这个月好的 
呃您好我想查询一下我这个手机的那个呃四g的那个现在不是有线一个电七九五本什么什么 唉对的如果我可以用的你能帮我转接我同样是一百零八元呃能够别人 
哎你好我想问一下就是现在有这一实惠的是什么都得加个最低的因为我这段时间不在上海就是不在中国就是说就是相当于只有一个通就可以了不需要太我不需要流量也不需要用它嗯嗯哦好的就是最实惠的价格的有多少的对的 十八块可是我就是要扣的话扣多少呢 
唉你好唉我想问一下现在有没有什么新的套餐 对啊 
很高兴为您服务你好我想问一下就是说我这个十八块钱的那个套餐费吗噢别的都包含什么呀 噢多少流量 
唉唉先生我我问问一下翁块啊就是这个你这个移动啊它刚才发个短信给我发短信给我叫什么高清通话 唉这这个免费就是它算是怎么说高清的不是我本来用流量了吗恩他现在又随便让他们多钟啊二毛九分了 
哎你好我想问一下你们这个移动有没有跟噢那个什么呃那个什么网站网站这里说有什么那个圆通的时候这张卡上网卡上或者是够嗯那个通过这种 呃就是说跟说什么视频网站或者是音乐软件要和这个套餐吗现在 
唉你好 唉是这样我想问一下那个我们这个就是说那个长途不是免费的嘛现在就是说我们这个五十分钟的长途还套餐里面五十分钟的长途还是按五十分钟算是吧 
唉你好我上次你们现在是不是有个新业务是跟我这个差不多是一百五十八二十分钟然后你就流量多了就多了几g的 什么业务啊 
喂你好现在有什么套餐有什么划算的套餐 就是要流量的 
唉你好我问一下现在有没有什么比较套餐那个划算的流量套餐 四哦我那个之前那个三不是有个三十块钱的那个让我办那个那个流量吗可以订吗 
喂你好我想问一下就是我现在这个套餐里面有一个问题我刚才查询了一下我本月的 有个叫做视频流量套餐费二十四元这个是什么东西 
我不是问你对 唉你好 
喂你好 不是一个月月租一个月多少的 
唉你好请问一下那个套餐嗯流量套餐是什么套餐 改套餐 
喂你好我想问一下嗯这边的卡能不能包那个是嗯按几的那个包月的视频啊 包月的 
哎我想问一下到那个欧洲三元就套餐流量或者他们那个吗 啊对我知道欧洲去的话 
喂你好我想问一下那个宽带业务 但 
你好 我就是想咨询一下嘛因为我是在上海办的卡嘛 
唉你好我这边问一下宽带的事 
呃我要就是那个大洋洲漫游七天加五天的套餐呢我的问题是呃我如果说一下飞机到了到了那个新西兰呢呃是手机会帮我自己选先开始七天的然后再开始五天的还是说它 就四天了我就说我让 
您好兴您服务哎你好我想就是嗯申请一下就是那个什么家庭至尊什么那个什么套餐啊然后那个刚才那个同事帮我转过来说我如果是要预约那个宽带要跟你们这边说一下是吧 啊地址是那个河南南路恩三百六十八弄 
你好小姐那个我那个流量已经用完了刚刚用完了现在现在有没有优惠的流量 呃如果有个七八百兆的有啊 
唉你好那个我看你你们有一个活动啊积分兑换话费啊 哎我也想兑换但是他就说有个客户密码忘记了客服密码 
哎你好我想咨询一下那个就是我在那个掌上上面看到有时候那个现在是呃流量是五十块钱四个g是这样啊 嗯六个g那唉我我看的是那个呀他是说 
唉喂你好 你好你帮我看下这个手机我套餐是不应该应该一个打电话便宜一点的 
我想个那个什么魔来这个服务这是什么东西然后需要收费的吗 没有功能费的对吧才会收费的是吗对他这个对这个东西是你们随意开通了吗 
你好 你们就给我发个短信说手机里 
哎你好我想问一下就是嗯移动就是我现在套餐我想换一个就是那种上网不限量就是流量不限量有没有吗 一个月是吧你们这网速能达到四g吗 
喂 啊啊你好我想了解一下你们这边那个宽带的服务的宽带那个什么一些服务和资费 
喂你好 这个对的这种卡它那个嗯充值套餐是贵一点就流量多一点的是多少钱 
哎你好我想咨询一下就是我们这边是公司嘛然后有什么东西应该是每天会经常去外地客户外呼电话的话 没有什么问题二八资费比较便宜的 
嗯小姐你好就是我想问一下你们这边是不是有装那个家庭宽带跟企业宽带的是吧 呃我想问一下就是企业宽带的话里面充的话大概是一个怎么收费情况 
啊喂你好就是我这个手机开流量了我想再开个流量你哪个套餐比较划算 嗯需要多少这个我还没寄账单现在就是一个g吧 
唉你好你帮我一个手机幺五九二幺九八九七零五 噢那就不要开我想问一下我这个手机如果到现在大去呃我要开通流量包有什么活动啊 
啊 唉你好我咨询一下就是呃流量的话可以开无线的吧 
身份证呀我还没看到嘞 呃是三幺 
啊您好先生哦现在就是你们家有一个那个什么十元六个国际一下呃三个g的是不是啊兆 啊加加加日流量包就是呃随时好订购的是不是啊 
你好我想问一下这个手机上有八六零要怎么自己晚上的流量什么意思啊 啊 
哎我想问一下这个手机里面有个功能不用我直接就是说高清的就通话高清功能的话就收费的 有爱的套餐 
唉你好那个我想咨询一下我十一月份的话费里面有一个到视频流量套餐费二十四块钱这个我不太明白这什么东西而且没有印象订购过这个东西 噢也就是说现在先扣掉然后后面再打进来是吧 
唉你好哎我想问一下就是咱们现在有没有就是就就无限流量那个套餐 现现是多少 
吧喂你好我想问一下我今天最后一天我想把这个套餐改掉应该没有捆绑打 我改个只要保持这个手机能打电话能通讯就有点流量就行因为我现在就是说有另外一种东西是帮我 
哎你好我想问一下呃我之前我这个移动有一个那个易充值的服务就是和呃银行卡或者支付宝绑定它每月自己会扣钱我想问一下这个服务现在还有吗 对 
喂你好昨天不是说有个短信嘛说是什么免费那个腾讯什么那个那个什么三三百那个那个什么流量那个流量对吧 那个那个是你们发的话就就是有一个套餐是吧 
喂你好 想问一下就是你们现在幺零零八六那个有没有装宽带业务啊 
喂你好那个你这个流量有什么一个之前是二十二十二十三块的是一个g上九点多兆 因为我跟你讲我说完我今天用邮件就可以了我这个直接回到我们可能申请下来就可以了你就好像是哪个流量好吧四百兆 
呃我那个这边有个手机号码我办了那个呃十八元的那个电话套餐他现在你们中国移动十八元是最低的吗 去的是吧嗯改套餐里面包含彩铃什么月基本费是一定要扣的吗 
哎你好我想问一下之前我收到一条短信说我这个手机可以升级什么他黄华四g那个他说是每个月十块钱多少流量和多少本地流量和国内流量身份证这个东西 有的是吧 
唉你帮我查一下现在我那个我想 哎我说那个能帮我看一下有什么流量包之类的好下一个 
还有我想问你一下什么什么叫个人通用流量包啊那意思 块什么什么他因市话本地流量就一个呃我的手机流量还有什么什么什么这个通用流量流量包什么我搞不懂哎就是我我知道了 
哎你好我想问一下那个呃移动的宽带是一百兆的光纤是吗一个一年是多少年付的话是 一年就是一千 
哎你好我想问一下就是呃你们发个短消息给我十块钱可以每个月增加一个g的流量是吧 加十块钱 
喂你好哎我想我想咨询一下现在移动的有没有什么套餐就是连宽带的那种感 还有什么 
啊你好你好我想这个月流量不够可以说有什么套餐啊就是加一块钱的 对知道 
你好现在上海移动是不是有一款那个八块钱的套餐呢 啊 
七四六咱们这边我看那个有有一个那个什么本地流量就是无限量的那个那个套餐是一百六十八一个月对吧 二五国际想本人办的话是什么意思呢就是说在上海这边用流量就是可以免费用对吧 
唉你好是这样的我你帮我查一下我这个手机号码嗯是一个月流量是多少来着 一百兆是吧嗯嗯好的呃电话是按正常计费的没有一个月送的 
唉你好美女呃我我想咨询一下啊这个一百三十八的套餐他有流量来有没有什么流量送的多点 有 
喂 你好 
你好需要咨询一下我这个手机我订的那个套餐流量的话我本来自己三天多少流量啊啊还有我赠送一个办了一个赠送什么那个多少另外送那个流量 这上面怎么刚才发个短信给我说流量我用用完毕了 
喂你好 现在是不是出了一个免费嗯三十三十这里视频流量 
诶您好是这样的我我想问一下我这个手机啊这个现在套餐不是一百二十八套餐流量好吧有没有什么套餐流量国内流量特别多了因为我老是在外地恩 四个g多少钱啊 
哎你好哎你是集团话费的对吧 唉集团服务的我这样的我的客服经理告诉我呃有个这样的事情你们写办一下呃我们三四五月份的那个发票啊你们当时开错了没有说号现在要重新重重重新开一下哎让我打你们这个电话唉账户啊账户号我告诉你一下 
我想咨询一下自己就是现在那个幺零零八六是不是有一个那个新的套餐新的四g流量对吧就是管流量 对那我看到的话好像他没有变动就是说它的流量好像又有有有就是调整 
您好很高兴服务喂你好我想问一下现在这个流量是有怎么算的 嗯嗯 
唉小姐 因为我这个号码呢是刚刚买的呃我想那么你们现在有什么套餐呢 
您好兴为您服务喂你好 哎我想咨询一下就是呃呃台湾去台湾的那个漫游话费漫游就是要申请开通的吗 
啊喂你好是这样的我想问一下现在有什么流量套餐是比较优惠的我想换流量套餐 那就是我上面上个月你们有那个一百八十天半年的那个六十级的那个流量套餐已经没有了是吧 
不是 哎你好我想请问一下我本月七号到十一号呃去山西那个漫游是怎么弄的 
哎我想咨询一下我这个手机号这个到今年的几月份到期啊这个一年的 十月底是吧噢 
高兴您服务宽带唉你好我那个宽带啊怎么弄自觉 你现在有什么套餐不就那个二十兆的嘛跟我那个东方有线一起的 
唉你好呃我想问一下现在套餐两百块钱左右的还有什么比较好呀给我这个我感觉不够用啊 都不够不够 
喂你好我想问一下呃那个三十八块钱的套餐里面有什么 别的什么都没有啊 
没有我想问一下我那个每个月好像流量的还差不多就是那个话费好像那个五百分钟一百五百分钟是吧 五百分钟我没少了一点 
唉你好你好我问一下这个到月底然后他那个现在流量套餐还有哪些嗯那个您说幺流量的活动的那种 诶诶就是我愿意换套餐刚才打电话问了又这是 
唉你好 呃我想问一下现在那个套餐有什么套餐 
喂你好 现在这个这个叫什么我想我现在这个是套餐是多少 
喂你好我想我想咨询一下我现在这个月他有一个什么那个通话的那个是什么意思 通话中网络不中断噢通了我看他送两百分钟都都这两百分钟通话的时候网络不中断的对吧嗯嗯不是他就说 
呃我一百二十八块是吧 我那个流量是多少的 
喂我我想问一下我这现在这个手机号码的流量是多少这个月 然后您充卡里面 
恩 喂你好哎我想想我想问一下就是我刚刚还有就是呃积分疗效掉了现在不花你话费那么就充了一下了嘛充到我手机里下来了你能帮我开通 
喂你好你好那个我想查一下有一个任我享的 半年流量包 
你好我想问一下有什么套餐是只有话费跟流量的 就是没有短信就没有短信没有呢 
唉你好是这样我现在用的是那个一百二十八的那个套餐 对然后呢但是我现在就每个月这个话费不够用 
你好我那个我想把我这个月的套餐现在中国移动最低的套餐是多少 两个小时以后是吧 
喂先生你好我那个我想问一下我这个月积分能兑做话费 诶 
您好很高兴为您服务就我就是不是营销人员 什么问题呢我刚刚接到一个电话说什么二十一百五十我现在这个月对吧就把话费是 
