诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   嗯
唉 先生 你好 就是 呃 我们 这边 是 公司 账户 然后 想 转 个人 的话 现在 要 怎么 操作 然后 转 个人 的 那 卫视 台湾人   呃 对   您 稍等一下
您好 很 高兴 服务 啊   啊 请问 我 前两天 我 给我发 咱们 办 了 一个 那个 套餐 然后 他 自己 本人 过去 的 它 不是 有 一张 卡 吗 是 大卡 我 想 买 的 一部 手机 到 移动 营业厅 去 换个 小卡 然后 业务员 推荐 他 把 那个 里面 套餐 换 了 但 他 老人 不 知道 现在 这个 这个 卡 的话 我 想 他 本来 他 本人 现在 不 在 我 这边 我 怎么 可能 办法 给 他 把 这个 套餐 给 它 再 换回去 呢   呃 他 他 的 密码
你好 我 想 开通 一下 就是 呃 手机 的 手机 的 就是 这个 叫 什么 业务 就是 几个 月 我 就是 因为 我 我 这边 需要 账单 和 发票 可不可以 就是 直接 发 我 邮箱 流量 的 怎么 开通 啊   对 对 对 问题 我 的 移动 营业厅 好像 没有 设置 这个 功能   对
喂 小姐 你好   就是 我 有 一个 我 有 一个 号码 是 公司 的 集团 号   现在 我 到 外地 去 了 不用 了 是 实名制 的 现在 公司 让 我 来 把 它 注销 了 取消 了
喂 你好 请问 现在 办理 流量 是 嗯 嗯 流量 是 怎么 办理 多少 钱 一兆 还   不是 我 之前 套餐 是 那个 呃 五十八 元 那个 什么 飞享 四 g 的 套餐 五十八 元 里面 有 一百五十 分钟 分钟 通话时间 有 五百 兆 的 流量 是 吧   那 我 现在 六十八 元 的 只有 二百 二十分钟 通话时间 但是 流量 只有 三百 兆 的 也 差不多 呀 是 怎么 划算 呀 我 刚刚 查询 了 一下 是 我 刚刚 查询 那个 发送信息 有 一个 四 g 自选 嗯 套餐 的话 它 有 个 五十八 元 是 三百多 分钟 通话时间 是 不 送 流量 只有 通话时间 是 这样 吗
我 想 问 一下 我 那个 优酷 的 那个 流量 包用 完 了 怎么 加   呃   啊 你 讲
唉 你好 我 问 一下 啊 有 个 问题 是 这样 的 就 说 我 之前 那 包月 同事 也 是 移动 客户 嘛 然后 充了 两千块 钱 然后 这个 他 想要 这个 充值 的 发票 这样 这样 这 样子 设置 啊   啊   他 是 怎样 充值 发票
你好   我 想 咨询 一下 就是 怎么 产生 开关 开现   对
唉 你好 我 问 一下 这个 宽带 的话 你们 这边 怎么 说   呃 你 看 我 这 手机号码 已经 办过 了 是 吧   是 这个 宽带 是 几兆 的
唉 你好 就是 我 咨询 个 宽带 问题 就是 我 有 一个 手机 办理 的 宽带 吗 那么 今年 大概 到期 到 现在 我 停止使用 那个 怎么办 呢   呃 是 那个 幺 三八 幺 六五 九八 零 四八   幺 六五 九 六五 九八 幺 幺 幺 三八 幺 六五 九八 零 四八
唉 你好 我 这边 那个 移动 的 宽带 的 时候 要 去 了 然后 我 这边 要 呃 不 不 不 不是 么 续 续约 呃 我 我 退还 设备 到 什么 地方 呢   是 个人 的 我 我 之前 不是 那个 现在 因为 那个 套餐 是 呃 是 那个 给 我 因为 我 那个 手机 有 话费 吗 然后 它 免费送 一年 的 那个 东西 也 是 一样 的 吗   公司 名称
那 请问 一下 现在 这个 套餐 流量 是 怎么办 的 这个   噢 我 知道 我 意思 比如说 月初 是 比如说 三十八 了 三十 那 或者 五十多 那 是 怎么办 的 啊   啊 噢 这样 噢 那 如果 我 要是 换 的话 那 就是 按 这个 换 不 回来 了 是 吧
嗯 好 唉 你好 是 这样 的 我 这个 套餐 里面 是 一个 呃 带 这 几个 副 号 的 一个 家庭 亲情 套餐 然后 我 需要 要 想 把 其中 的 一个 号码 取消 了 嗯 怎么 操作   幺   喂
喂 你好 我 想 问 一下 我 这个 手机卡 号 要 开通 流量 怎么 开 的   噢 这样 不划算 了 他们 说 五十 那个 五十块 钱 消费 那个 就是 就 那个 怎么 消费 那个 是 吧   不 不是 就是说 我 说 五十 八块钱 包月 给 我
你好 麻烦 问 一下 别的 存 手机 手机 积分换 话费 的话   好 好好 谢谢 啊   没有 了 没有 了 好 你
我 那个 我 在 那个 你们 官网 上面 买 了 那个 手机号码 然后 我 就 想 退掉 怎么 退 啊   就 就 那个 呃 一分钱 呀 你们   到 了
喂 你好 哼哼 我 想 那个 那个 号码 是 没 问题 那个 是 我 又 来 了 这个 办理 那个 啊 七十 几块钱 应该 是 吧 现在 怎么 能 取消 掉   证号码 我 身份证 号码   身份证 号码 我 知道 的
喂 你好   我 这个 流量 没有 了 我 那个 增加 流量 怎么 增加 的   呃 多少 钱
唉 你好 呃 我 刚 收到 短信 就是 我 的 流量 已经 用 完 了 可是 他 说 可以 有 免费 领取 流量 三十 怎么 怎么 做   噢 那 我 看 视频 就是说 手机 看看   噢 今天 十一点 他 也 没用 什么 礼品 的 这个 钱
唉 先生 你好 我 想 问 我 手机 超过 一 十块钱 一 百兆 的 流量 好 吧   就 可以 了 噢 我 我 昨天 那个 不是 你们 手机 发给 我 幺 零六 五八 九九九 二说 我 可以 赠送 一 百兆 流量 的 有 那个 积分 赠送 的 唉 我 弄 来 弄 就 弄 不 出来 我 也 不 知道 怎么弄   它 上面 写 的 钱 那个 ap 五二 一百
唉 你好 我 想 问 一下 呃 我 收到 个 短消息 那个 什么 宽带 十元 一 百兆 二十元 两 百兆 是 是 怎么弄 怎么 办理   我 呃 呃 呃 金山区 的   嗯 结算 工业区 力 新街 你 能查 得到 吗 我 这里 也 没有
哎 你好 请 把 那个 越南 的 那个 资费 情况 发到 我 的 手机 上 好 了 发到 本 机上   没有 了 谢谢
唉 你好 噢 我 刚刚 打 你们 那个 客服热线 就是 我 这个 幺 三九 幺 八七 四七 三六 幺 的 号码 嗯 嗯 就是 我   到 年龄 只能 用 我 的 名字 用 再 再 再 用 嗯 登记 的 就是 你们 里面 登记 的 知道 吧 嗯 我 说 现在 呢 他 要 去 办 银行卡 的 他 现在 工作 了 现在 办不成 因为   它 等于 说 是不是 这个 手机 等 于是 我 五 天宝 在 用 知道 吧
喂 我 想 问 一下 就是 我 想 买 本月 的 那个 十块钱 一 百兆 的 流量 怎么 买 啊   嗯 陈文娟   嗯 可以 你 就 可以 办 的 是 吧
唉 先生 你好 我 就是 那个 我 就是 用 积分换 购 可能 上面 有 一个 和 区 验证码 还有 个 什么   还有 个 什么 号码   对   唉 你好 是 这样 的 呃 我们 公司 在 移动 大概 有 五六个 手机号码 我 想 办理 成 集团 套餐 然后 统一 统一 交费 这个 可以 吗   对 的   都 是 公司 名下 开立 的
喂 唉 你好   我 是 这样 的 就是 我 之前 不是 办 的 那个 移动 的 那个 呃 网 无线网 嘛 对 吧 嗯 我 我 现在 是 帮 您 加 然后 我 想 把 这个 网络 宽带 我 的 应该 的 去 呃 需要 什么 需要 怎么 做 呀   呃 就 已经 在 呃 隔壁 的 小区
唉 喂 你好 就是 我 想 给 我 这个 名下 我 还有 一个 手机号 要 那个 它 流量 不够 我要 加 流量 怎么 搞 啊 那 您 这个 服务 密码 有 吗 呃 就是 我 缴费 的 时候 是 这样 的 我 有 两个 手机号码 就是 一个 是 嗯 缴费 是 两个 另外 一个 手机 是 我 女儿 的 密码 我 不 太 知道 嘞   就是 我们 那个 缴费 是 绑定 的 但是 它 的 流 那个 手机号 的 流量   要 我 的 密码 还是 他 的 密码
嗯 哎 你好 我 想 问 我 想 问 一下 我 江苏 的 那个 移动 卡 在 上海 这边 在 哪里 好 吧 挂   啊   我 不 知道 唉
呃 这样 的 我 想 问 一下 那个 叫 那种 包年 的 宽带 是 怎么 装 的   一年 多少 七百 六 啊   我 我 我 现在 听说 进去 里 不是 有 那种 一年 它 一百二 的 它 你 是 什么 广告 呀
嗯   二百 先生 你好 我 想 那个   那个 前两天 在 那个 掌上 那 你 按照 这个 两个 活动 那个 手机 主要 问题 然后 我 现在 再关 苹果 那个 官方 的 那个 数据 工商 这些 啊 出现 的 订单 然后 现在 我 在 哪儿 去 换 机器 呀
你好 我 这个 电话号码 不是 办 了 一张 副 卡 副 卡 是 怎么 激活 的 就   这个 手机 吗   号码 你 等 一会 啊
唉 你好 我要 那个 拿 银行卡 给 那个 那个 手机 充值 怎么弄   和 微信 上面 通过 你们 那 那个 支付宝 就是 在 在 微信 g 的 里面 那个 部门 这个 不让 用 那个   就行了 行 那 我 明白
喂 您好   对 是 这样 的 就是 现在 我 手上 呃 还是 这张 卡片 呢 应该 是 当时 二 g 卡片 就是 我 想 问 一下 说 呃 我 这边 因为 我 现在 人 在 外地 为什么 比较简单 的 方法 给 你 打电话 换成 三 g 卡 和 换换 成四 g 卡   对
噢 你好 我 想 咨询 个 事情 就是 我 朋友 他 手机 丢 了 然后 她 现在 在 外地 然后 他 补办 然后 是 需要 那个 六位数 的 那个 那个 那个 什么 吗 对 吗 服务 密码 对 吗   他 是不是 上海 移动 它 是 北京 的 号 然后 他 现在 在 上海 然后 他 要 办 然后 我 知道 就 长寿路 两百 号 办 再 等 了   密码 知道 吗
啊 我 想 我 这个 本 机 现在 开 流量 怎么 开 呢   对   可以 可以 好像 上 月 我 要查 两个 g 啊
哎 你好 我 想 问 一下 就是 开通 那个 实名 电话 他 要 那个 法人 的 发票 那个 电子 发票 在 哪儿 用 啊   对 对 对   对
喂 你好 我 刚才 打电话 了 就是 嗯 我 不 知道 到 外地 去 嘛 我 的 流量 好像 不够 了 嗯 我 想加 流量 怎么 加法   一点 五个 g 就是 一点 五个 g 那 我 要加 四十块 钱 的 就 三个 g 的 吧   如果 如果 之后 再 不够 用 的话
你好 我 想 问 一下 之前 好像 有人 联系 我 说 有 那种 流量 加量 不 加价 的 对 吗 噢 那 我 现在 要 怎么 办理 啊   噢 也就是说 总共 六个 流量 噢 好 然后 那个 就是 苹果 不是 新出 的 那个 我 去 吗 呃 意思 是 说 可以 支持 蜂窝 然后 移动 是 还 在   唉 你好 能 听到 吗 这个 你 说 呃 就是 苹果 新 大 不得 我 去 第三代 然后 他 后面 是 可以 支持 移动 的 蜂窝 流量 的 你们 这个 有 设置 吗
喂 你好   我 现在 想换 一下 我 那个 套餐 流量 套餐 那个   嗯 嗯 现在 有 哪些 套餐 呀 比较 划算 一点 的 我 套餐 使用
你好 唉 你好 是 这样 我 想 咨询 一下 就是说 我 就是 这个 手机号 登记 的 有 一个 宽带 嘛 然后 我 现在 如果 现在 提前 停掉 的话 是 怎么 操作 的   呃 对   就 不管 的 费用 还是 交掉 了 就 不 退 了 了
唉 你好 恩过 我 就是 想 问 一下 我 这个 就是 那个 我 家庭 的 这个 宽带 这个 月 到期 我 想 继续 使用 在 里面 讲 一下   嗯 嗯   啊
哎 你好 我 想 请问 一下 我 这 张卡 是 四川 的 卡 现在 我人 在 上海 我 想 办 那个 流量 办 那个 国内 通用 流量 怎么办   嗯 是 四川 当地 移动   啊 好好 好好 行 行
你好 我 刚刚 收到 你们 一个 确认 的 短信 我 确认 了 我 回复 一个 外 然后 他 回 我 一个 信息 说 受理 不 成功 叫 我 跟 幺 零零 八六 联系   已经 生效 了 是 吧 好 的 谢谢   嗯 再见
喂 唉 你好 呃 你好 小姐 那个 我 的 那个 流量 还 不够 用 的 我 现在 怎么样 叠加 流量 包   想 最好 是 现在 吧   加油 包是 什么 我 想要 两个 g 三个 g 的 有 吗
唉 喂 你好 我 刚刚 收到 一条 短信 就是 你们 幺 零零 八 六八 六 他 说 最低 那个 套餐 资费 可以 登 免费 升级 到 那个 九 gb 对 吧 嗯 嗯 咱们 这边 是 国内 套餐 流量 有 三 g 的 全国 流量 对 吧 这 是 全国 可以 通用 对 吧 恩 那 那 我 可以 怎么 办理 呢   啊 对 吧 诶 你 你 你 你 说 慢点 那个 十元 一个 刚刚 比较 吵 你 刚 说 什么 从 什么 时候 开始   呃 就 恢复 到 我 原来 的 流量 对 吧 恩 啊 恢复 到 原来 的 流量 就 赠送 啊 金 在 儿 这个 等于 真的 时间 不够 一年 对 吧
唉 你好 哎 我 想 问 一下 是 咨询 个 问题 就是说 那种 这个 手机 不是 有些 就是 换 手机 的 话费 的 芯片 要 大小 问题 是 吧 然后 我 手机 那个 卡是 大 的 那 我 该 怎么 去 什么 地方 去 换 一点   啊 对 对   就 本地 营业厅 那 如果 我 这个 卡是 外地 的 卡 呢
唉 小姐 你好 我 想 咨询 一下 我 想 现在 这个 幺 三九 的 我 想 办 一个 那个 一 的 消费 一百零八 块 那个 家庭 那个 宽带 的 那个 那个 套餐 的 呃 怎么 办理 要 要 要 什么 条件 吗   呃 其他 的 有 什么 条件 不要 什么 条件 的 是 吧   噢 那 如果 我 我 现在 我 现在 人 在 焦急 的 对 吧 我 如果 在 数据 装 的话 我要 我 本人 办 的 是 去 那个 营业厅 去 因为 这 就是 营业厅 去 办 营业厅 吗 九九 我 这 四千 六百 办 也 可以 的 是 吧
喂 你好   够 吗   那个
喂 你好 唉 我 在 我 在 外面 就 今天 一号 手机 突然 停机 了 就是 我充 话费 怎么 充 呢   幺 三九   五五 幺 二
唉 你好 那个 我 想 问 一下 那个 国庆 期间 开通 那个 呃 呃 就是 境外 流量 就是 怎么 申请 呢   噢 那 你 你 现在 能 帮 我 办 吗   到 英国
哎 你好 我 想 问 一下 就是 你们 不是 移动 不是 有 最后 那个 积分换 话费 换 流量 还有 换 其它 礼品   什么 问题 呢 我 怎么 这个 他 现在 就是说 一个 现金 什么 意思   诶 还有 什么 不是 我 现在 是 在 你们 移动 官 网上 打开 他 不是 说 呃 积分 下面 不是 有个 什么 现金 八块 八加 一开 呀 这个 什么 意思 啊
哎 那个 先生 你好 我 是 想 问 一下 就是 关于 我 是 一家 企业 吗 然后 我们 现在 是 要 办 那个 四 零零 的 就是 免费 人家 打 进来 的 那个 电话 我 想 问 一下 就是 具体 需要 怎么办 然后 对 我 需要 到 营业厅 办 吗 这些 还有 相关 材料 怎样 的 流程   呃 四 零零 就 这样 人家 不是 有 的 这种 东西 就是 打进去 就是 一个 免费 的 呼入 吗 免费 可以 就是 打 的 这种 电话   我 我 我 那个 我留 一个 手机号码 给 你好 吧 你 等 一下 让 你 的 同事 联系 我 这个 电话 可以 吗
现在 我 问 一下 就是 我 手机 要 开通 上网 功能 就是 电话 里 可以 开通 的 对 吧   嗯 如果 我 现在 开通 就 现在 就 马上 就 充 了 对 吧   呃 我 想 问 一下 如果 我 关掉 的话 也 是 电话 里 也 能 马上 就 关掉 了 等 一下 好 的 那么 你 这个
哎 你好 我 想 咨询 一下 嗯 嗯 下个月 呃 就 这个 办 了 吧 我 还 没到 我 这 后付费 的 然后 我 想 把 这个 积分 用 掉 你们 这里 可以 办理 的   然后 兑换 话费   呃 到时候 后付费 账单 他会 帮 我 减免 掉 了 对 吧
唉 你好 帮 我查 那个 我 发短信 说 我 有 七千 六百 拨 的 那个   我 说 我 要 兑换 流量 怎么 换 呀   我 发到 您 手机 上 我 用 不来 的
啊 那 就 改 还有 什么   喂 我 想 问 一下 我 这个 要 要 到 那个 泰国 去 旅游 的话 我 二十四 号 的 那 我 要 开通 这个 国际漫游 和 那个 上网 流量 费 怎么 开 呀   五天 多少
喂 你好 请问 一下 我办 一下 宽带 的话 是 怎么办
喂 你好 麻烦 你 因为 我 这个 我想 办个 另外 一个 手机 充充 流量 的话 如果说 嗯 它 因为 它 这个 本 现在 是 坏 了 外 吗 老外 的话 他 现在 手机 也 不 在 我 手里 我 想 帮 他 充 一下 可以 吗   他 的 密码 我 没有 唉 有 的话 就 其他 平台 帮 他们   在 微信 帮 他 买
喂 你好 我 想 那个 购买 流量   那 这个 月 嗯 优惠 的 怎么办   两个 g 左右 吧 两三个 月 内
你好 三 五四 幺 三八 零 幺 八八 二 五四 幺 的 用户 然后 是 关于 宽带 安装 啊 当时 手机 最好 是 好像 明天 是 吧   应该 知道   呃 龙吴 路 两 千八百 八十八 弄 二十八 号楼 二三 零 幺
噢   你好 请问 一下 这个 积分换 话费 怎么 换   嗯 好 的 好 的 谢谢 啊
请 不要 挂机 您 拨 想 喂   很 抱歉 我 看看 刚才 断线 了   没事 嗯 嗯 他 断线 了 然后 那个 就是 您 现在 是 在 帮 我 转 吗
哎 你好 我 想 问 一下 那个 十块钱 一个月 的 宽带 怎么 办理   呃 是 不要 查 那个 所在地 能 不能 再   你们 好像 是 上海市 普陀区 紫藤 路
啊 你好 呃 那个 我 我 可以 问 一下 我 这个 要是 加 流量 包 的话 是 怎么 加 吧   噢 这个 我 还 真 不 清楚 这个 怎么 到   就 两百 应该 还 可以 吧
嗯 请 帮 我查 一下 我 那个 彩铃 歌曲 接收   收 市话费 的
就 帮 我 电话 充值 喂 在 通话 的话 嗯 嗯   我 知道 喂 你 帮 我 短信 好 幺 三 嗯 大学 就是 你 帮 我 改
唉 你好 我 这边 想换 一个 套餐 嗯 怎么 换 噢 因为 我 现在 是 那个 光 呃 五十块 钱 是 多少 流量 呢 这 五十 兆 是 吧 二 两个 g 那 我 现在 因为 我要 那个 免费 打电话 嘛 我 现在 想换 一个 通话 的 那个   你 那边 帮 我 介绍 一 下来   噢 两三百 分钟 都 可以 四五百 分钟 也 可以
啊 你好 那个 就是 上次 让 你们 帮 我 提供 那个 九月份 的 电子 发票 吗 提供 是 提供 过来 了 但是 它 上面 那个 纳税人 识别 号 跟 开户行 的 账号 对 云南 是 两难 都 是 空 的 嗯 这个 的话 就是说 需要 需要 登记 这个 号码 当时 登记 的 那个 识别 号 你们 打上去 就 可以 了 吗 还是 怎么 的   就 这 我 就 我 这个 手机号 但是 它 是 公司 号 开 的 吗   先生 其实 应该 是 一
全 您好 很 高兴 为您服务 喂 你好 那个 号 喂 我 那个 手机号码 莫名其妙 被 标记 了 然后 我 这个 要 怎么 消除 呀   鼠标 奇怪   再 联系 他们 那边 去 申请 对 吧
哎 我 想 问 一下 我 在 网上 那个 兑换 积分 吗 然后 有 一个 什么 付 客服 什么   幺 零六 三 那 我 如果 没有 设置 过有 初始密码 吗   自己 去求 那 我 现在 电话 里面 可以 转 可以 转 的话 那个 吗 就是 兑换 了
哎 你好 我 想 自己 打印 那个 电子 发票 然后 我 现在 已经 登上 那个 中国移动 的 网络 但是 我 不 知道 在 哪里 办   啊 好   呃 先生 嗯 五 三八
你好 就是 我 这个 手机号 也 办理 一个 那个 和 单位 套餐 不是 现在 那个 就是 网 那个 叫 什么 呃 呃 都 可以 免费 升级 呢 是 吧   嗯 嗯   呃 宽带 对
喂 你好 我 想 问 一下 那个 刚才 那个 电子 发票 怎么 改 在 哪里 啊   恩   号 好好 谢谢 谢谢 啊
哎 你好 我 想 我 想 我 要 这个 打 一下 这个 话费 工单 的话 需要 什么 密码 怎么 操作 呀
你好   喂 你好 就是 问 一下 我 我 现在 这个 手机号码 能办 宽带 吗   在 在 上海 移动 就是 我 我 现在 想 装 宽带 然后 我 把 地址 报给 你 你 能 帮 我查 一下 能 不能 装 吗
喂 你好   嗯 这 样子 就是 呃 我 原先 办 了 一个 那个 五 十八块 的 那个 合家 那个 宽带 套餐 啊 那个 就是 我 看 我们 小区 好像 是 跟 那个 嗯 有线通 是 绑定 的   就是 通过 有线通 的 线 那个 呃 我 看 呃 就 用 宽带 的 对 对 对 对 那 我 现在 因为 有线通 那个 电视 是 不想 看 了 吗 然后 我 打电话 去 问过 了 吗 有线 他 说 那边 说 就是说 因为 办 了 这个 业务 他 那边 那个 就是 电视 那个 不能 暂停 啊 那 是 有没有 什么 单独 的 那个 信号 怎么样 的 我 搞不清楚
唉 你好 是 这样 的 就是 那个 我 有 个 宽带 想 移机 的话 怎么 办理 了   一定 要 去 营业厅 啊   呃 现在 问题 浦东 那个 高航 这个 营业厅 开始
那个 我 想 问 一下 就是 呃 咱们 这个 那个 网线 是 怎么 怎么 办理 啊 就是 无线网   对 给 家里 吧   哦 就 移动 宽带 怎么办 呀
唉 你好 我 这 我 这个 手机号码 不是 那个 到期 了 嘛 这个 月 是 吧 一百二十八 元 的   对 吧 因为 你 你 这里 能 改 吗 现在   呃 小票 的话
哎 您好 是 这样 的 我们 公司 要 办理 一张 公司 用 的 那个 电话卡 然后 我 想 知道 需要 的 那些 资料 去 营业厅 办理   对 对   没有
嗯 要 增加 喂 唉 先生   啊 问个问题 就是 那个 那个 企业 彩铃 功能 版 的 这个 业务 知道 啊   这 好像 不是 集团 业务 啊 工单 里面 写 的 这个 不是 集团 业务 集团 没法 回复 的
喂 你好   唉 我 想 请问 一下 我 这个 卡 我 想 把 它 停掉 要 怎么 提   我 然后 只要 打 人工 服务 就 可以 停掉 是不是 啊
你好 我 想 咨询 一下 如果 办理 企业 彩铃   只能 是 上海 移动 号码   就是 免费 办 了 吗
唉 你好 小姐 那个 我 想 申请 移动 宽带 应该 怎么 做 啊   地址 沪 青路 八十八 弄   啊
喂 您好   我 是 当时 办 的 这张 号码 是 用 别人 身份证 办 的 我 现在 想 把 那个 身份证 改成 自己 的 怎么办   就 一定 要 他 本人 吗 唉 然后 让 他 身份证 吗
哎 你好 我 想想 问 一下   就是 我 那个 手机 为什么 会 收到 信息 说 我 里面 的 积分 八千多 分 可以 换 一百元 话费 就是 真的 吗   操作 的 代码
喂 你好 我 我 想 问 一下 就是 我 有 个 外省 的 那个 手机号 如果 想 销户 的话 呃 打 那个 外省 的 这个 电话 能 销掉 吗   他 是 预付费 的 啊 你 给 我 我 也 不 欠费 什么 的 呃 不能 销户 之后 我 取消 不了 那 是 后面 就 产生 这个 就 我 这个 下个月 办 业务 是 有 影响 是不是 啊   刚才 没有 打通 的 这 三百 分钟 还 还 不换 十块钱 了 我 就 不 想要 了 吗
唉 你好 那个 我 咨询 一下 我们 那个 超市 我们 那个 铺子 不是 里面 那个 我 是 那个 公司 就是说 要 办 那个 他们 给 我 统一 装 那个 移动 宽带 我 这边 是不是 要 开户 啊   是 这个 世纪 联华 超市 统一 装 的   噢 那 你 查 一下 地址
喂 你好 谢谢   这个 移动 的 宽带 网络 怎么 用 什么 路   怎么 怎么弄
唉 你好 我 问 一下 你们 这个 宽带 怎么 安装   对   我 是 在 那个 火车站 天目 开么 怎么 使用 一百一十 六
哎 你好 我 想 问 一下 你们 那 宽带 怎么 算 呢   参加 了   他 他 的
喂 你好   那个 号 要 一个 位置 我 那天 登记 的 我 想查 一下 什么 时候 能够 以后 叫 我 怎么 用 呢   对 对
唉 你好   就是 集团 集团 号 就 会 去   业务 吗
哎 你好 哎 就是 我们 公司 有 两个 号码 啊 最近 我们 公司 因为 营业执照 变动 了 然后 开票 信息 啊 包括 公司 名称 不是 证件 号 之类 的 收到 信息 都 变动 了 那 我 应该 怎么 去 营业厅 改改 改 那个 这个   呃 有 两个 不是 这个 我要 报 一下 对 吧   幺 四 幺 四 七八 二 五九
是非 是 这样 的 那个 呃 我 之前 办 了 一个 号 是 我 一个 人 你 你 你 我 个人 名义 贷 的 但是 其实 是 给 公司 的 不能 用 的 呃 不是 现在 遇到 了 一个 问题 是 说 发票 报销 的 时候 只有 我 的 名字 没有 税号 这些 东西 他 过 我 问 一下 怎么样 才能 转给 那个 转 到 公司 那边 去 这些 卡 的 这个 原因 是 一定 要 有 公章 原件 但是 我们 工作人员 现在 北京 他 不让 我 让 那个 就是 因为 这样 的 事情 拿 出来 所以 我 问 一下 现在 应该 怎么办   对   呃 怎么 这 怎么 扣扣 了 我 这 手机 怎么 做 呢
唉 先生 我 想 我 想 问 一下 我 明天 呃 那个 国际 漫 呃 那个 博 g 的 那个 我 到 日本 去 那个 上网 怎么弄 啊 我 只要 一天 是 要 用 流量 的   呃 就是 我 只要 一天 反正 就是 按 一天 一天 算 的 是 吧 你 这天 用 了 那 就是   三十块 就 封顶 的 对 吧 噢 那 你 帮 我 开通 一下
哎 请问 一下 就是说 现在 那个 宽带 是 怎么 装 的   对   啊 行 嗯 嗯
啊 我 想 问 一下 那个 什么 事四 g 什么 流量 装 的 是 什么 怎么弄 的   对 对 对 对 对 十周年   八六
唉 你好 那个 我 想 就是 问问 那个 就是 移动 的 这个 宽带 是 怎么 办理 你好 一万块 钱 幺 三 你 说 对 对 因为 之前 你们 那个 邮件 务员 给 我 打过 电话 说 你 我 想 请问 办理 什么 可以 什么 免费 办理 我 我 没 听 清楚 对 麻烦 您 地址 报 一下 行 吗 这个 我 的 地址 啊 就是 制 成功 六   松江区 嗯   是
唉 你好 我 那个 积分换 话 话费 的话 怎么 换 呢   好 的 知道
你好 我 想 问 一下 问 一下 那个 就是 呃 小号 就是 嗯 九六 八九 幺 六 然后 我 就 问 一下 这个 区 号 提 取消 了 吗   已经 取消 了 对 吧 已经 取消 了   那么 我 想 问 一下 如果 再 上去 的话 是 嗯 怎么 怎么样 的 情况 呢
我 想 改 一个 套餐 呢 怎么 办理 呀   我 想 把 这个 流量 多 加一点   因为 我 现在 不 想要 这些 我 就 直接 就 就 加钱 就行了 每个 月 交钱
您好 很 高兴 为您服务 你好 我 想 问 一下 我 那个 扬州 的 号码 呃 就是 这个 号码 不想 换 弄 台 上海 的 怎么弄 啊 嗯   噢   业务 呢 因为 这个 卡号 因为 这个 这个 手机号码 不想 换机 想 就 想 重新 办理 一下 吗
唉 你好 喂 麻烦 请问 一下 就是 我 那个 宽带 如果 要 什么 地方 的话 就是 我要 搬家 了 一 位置 的话 就是 要 走 什么 程序 啊   噢 那 那 我 要 十一月份 才 已经 现在 可以 号码   就是 呃 老 地址 是 中山北路 二六五 五弄 四十五 号
喂 你好 就是 我 想 问 一下子 我 想 把 这个 宽带 给 取消 了 你 看 我 带 应该 在 一些 什么 东西 过去   不了 你 你 慢 一点 我记 一下 吧 容易 忘   啊 好 的 营业执照 的 副本 的
喂 你好 我 想 问 一下 现在 跟 我 说 我 办 一个 流量 卡 的话 改 怎么办   嗯 大概 是 在 你 兆 左右 吧 就是 单独 办张 卡   对 流量 卡
您好 这边 是 集团 号 然后 那个 我 怎么 去 打 发票   集团 账号   那 我 不 申请 就 没 发票 了 我 这边 查 过 不好 对账
唉 你好 我 那个 我 想 问问 我 有 积分 能换 五十块 钱 电话费 那个 怎么 换 啊   好 的 噢 发给 我 吧
喂 你好 唉 我 想 问 一下 那个 电子 发票 怎么 怎么 办理   本机本 机号码 的 余额 谢谢   呃 就 这个 月 呃 九月 嗯 大小 月 的
哎 你好 我 想 问 一下 就是说 因为 我 我 没付 一个 手机 要 开通 国际 长途 是因为 他人 在 美国 然后 的话 他 要 让 我 帮 他 开通 国际 长途 的话 怎么 操作   应该 没 的 它 因为 已经 去 美国 因为 之前 在 国内 回来 跟 一个 一个 三个 月 超过 以上 了 回 美国 一天 测 超过 上个月 交了 其 那种   但是 我 我 有 他 的 身份证 呢 可以 帮 他 了 但 不 可以 的
唉 你好 唉 我 想 一下 就是 我家 里面 现在 用 的 那个 宽带 呀 这边 充 的 是 联通 的 那 现在 我 想 给 他 改成 移动 的 应该 怎么 改 呢   对 的   嗯 光路 背光 路 对 咱们
唉 你好 就是 我 这个 宽带 已经 到期 嘛 我 觉得 费 是不是 我 带 好 那个 就是 上次 呃 工作人员 坏装 那个 合适 到 营业厅 去 退 就 可以 了   噢 我 现在 带 过去 就 可以 直接 办理 不 需要 预约 的   噢 那行 行行好 好 谢谢 你
唉 你好 我 是 企 企业 人 在 你们 这里 就是 开 了 一些 手机 的 那个 呃 号码 我 现在 去 就是 那个 补卡 或者 是 就是 关停 有些 不 需要 的 那个 号码 我要 带 什么 证件 去 你们 营业厅   对 都 是 以 公司 名义 登记 的 啊 换卡 的话 您 记 一下 那个 资料 宝   噢 你 说
多少   我 我 想 装装 宽带 怎么 个 办理 吧 嗯   对
您好 很 高兴 为您服务 那个 刚刚 发了 一个 中国移动 那个 网站 那个 怎么 充值 运行 怎么 搞 的 呢   呃 我 下载 下载 不上 那个   其他 的 网页 什么 都 能 打开 吗 全部都是 网页 都 正常 我 月租 不 知道 的 开
