喂您好 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 彩铃六块六块是什么东西啊 什么阅读 
呃你好帮我把那你看我这个号码是不是有什么右上角有现在一个月二十块啊 是送的吗 噢那它怎么有个短信是说什么有效一个 行行那我这个号码还有什么费用 
喂我问一下我这个是不是装了宽带啊这个手机啊一个月扣多少钱啊 七十九啊 噢噢没有别的费用呢 诶我想问一下我我已经还有一张卡我没去注销的话那怎么办 
你好那个我这个卡是什么套餐呢现在 二十八呢 诶是是什么样的三十八的 现在五百兆了这个是不是每个月返还十九块了 
你好啊喂 诶我想看一下我现在有什么套餐噢 嗯那我还有什么东西 那三块钱到现在一个健康就小助手健康手机不管你把我那个电商少不都不要了好 
就是我这个手机现在是那个三八套餐的吗那我的它每个月都有好嘞三四十块钱一下那个那我电话每个月打的是比较少我可以换一个什么套餐是您是流量比较多是吧电子比较多但是我打电话也打不了多少他们就十几块钱的电话这样子 呃打您的这个套餐比如说降低然后这个月开通一个流量包这样的什么意思啊 那就是我现在还有另外再加八块钱进去是吗 噢不那种 
你给我查一下我手机都有什么业务 噢 他没有别的费用没 那我问一下我昨天那个话费有接收找找失效是送给我讲的是怎么回事嘞出现什么变更业务了 
诶你好嗯我想那个你帮我那个我这部手机就这个号码用的那个套餐麻烦发到我的那个手机上 啊没有没有没有了谢谢啊 
谢谢噢 看一下我这个办的是什么服务每月多少钱 它这个流量包你要给它关掉 啊他这是老老人老人他不能用呢 
那个 喂 诶你你你帮我查一下我现在是用什么套餐啊 噢啊 
诶你好一条 您好我想查一下我现在用的套餐什么套餐 我记得我上个月已经申请办套餐它没有换成功吗 好像是短信呀 
谢谢噢你帮我查一下我这手机有个套餐有什么套餐七十九的套餐啊里面有包含什么 诶宽带嗯就九十九块有包括宽带是吗那它会自动取消吗 那就是说到什么时候会取消呢 噢那还有什么 
你好我想问一下我帮你办了什么套餐只有五十的还有什么套餐 那你帮我把那个校园流量的 好可以 行 
下那个网络能不能用其他号码办理一下那个业务就重置密码知道吗是的 呃幺八二诶五九幺六 六幺七村 你帮我查一下他目前有什么业务 
那个我问一下我的手机上有什么套餐啊 那个彩印干嘛啦 我我只需要一个套餐跟来电提醒其他我都不需要 他没说叫什么套餐他是说你赠送的到十月份要来关掉吧 
噢喂你好我想问一下他呃我这个手机开呃有上网有就是网络什么游戏之类的吗 呃对 月底的慢对没错这个月是没有是吧发的阅读动漫去了多少钱呐 扣了六十五块那你这样子被扣我不可以申请吗就是之前孩子我呦就是一个小孩子嘛也就是 
诶你好诶我问一下我现在这个套餐了呃套餐的话是五十八的对吧 哦那我能改成三十八的吗 对啊现在才还是五十八的跟三十八的是一样的啊 啊行加油包的那个套餐b的对吧 
喂你好诶你能帮我查一下我这手机都有什么套餐吗 噢那那我怎么有那个流量的收费啊 没有流量费是的 好那你发给我看一下嗯可以用的这个就是保底消费十块钱是吧 
呃你好请问一下我这个手机什么套餐呢 还有其他什么什么什么什么收费吗 噢好 
诶麻烦你问一下我我这个号码是是不是没用那是以前那个三十八的那个流量套餐噢 我是不是还是三十八的那个套餐噢 那为什么最近老是说欠费欠费啊 你好我我上上上次交了钱后前几天又交了三十块今天又说欠费十块这是什么原因 
喂你好就是你帮我看一下我这部手机在里面有有什么增值业务啊 然后 宽带一个多少噢 三十一号那那那其他的没有了三十一天这二十八其他都没有是吧 
诶你好我给你好诶你好诶那个就说我本机套餐现在是呃那个套餐外还有其他收费业务 噢你那个帮我兆吗 你那个诶我这个套餐是多少 噢十八块一个月噢 
诶你帮我查询一下我这个有什么业务 请稍等好的好好 固定包月都没有吗我有个什么 呃包年的什么业务啊快到期了 
呃喂您好我想问一下我现在手机这个套餐重多少的呀我都忘了 五十八块 加流量那里面包含流量是多少呀五十八套餐它 百兆那我原本办的好像也有流量吧 
喂你好诶你好请说你你帮我看一下我这里面是不是有一个什么流量那个 流量就呃流量套餐五十块钱 呃不是有一个流量套餐费三十块钱对不对诶对 嗯嗯 
喂你好 诶请帮我查一下我这个套餐是多少能不能帮我退掉可以吗 而且您这个 我有宽带捆绑就不能更改那个套餐 
喂你好你好请讲嗯噢您帮我看一下我这个号是开了两城一家 噢我原先我妈去无锡的时候他说他开的噢他想把他关闭掉 取消了这边嗯好的 等于 
你好 喂你好现在我这个卡不知道昨天改了看到它说有赠送什么流量啊 那你帮我查一下 就是昨天我觉得改那个新版的套餐 
你好多幺八六零诶你好你帮我看下我那个手机是不是那个安心锁掉了上网很慢 噢那你帮我解开吧 嗯行好谢谢 呃没有了 
您好请说哎你好诶请帮我查一下我这边有个其他什么业务吗 嗯 不要嗯那个帮我取消掉吧无线音乐俱乐部取消啊 啊 
你好麻烦帮我查一下我这个套餐是不是现在已经改成五十八的套餐嘛 还是三十八吗 我不要改那边有一个电话说已经帮我改了呗 噢那就是如果当天没改的话到现在为止它就不会再改了 
诶您好就是我现在我不知道我现在的那个手机套餐是怎么个情况你能帮我查一下告诉我一下吗 啊奇怪我这个流量都都告诉我说已经超过这个月已经超过六八看一下 那一百多兆是 三块多嘿那还有什么其他时候我的那个套餐你帮我推荐一下 
应该是用我这个帮我查一下宽带告诉你呃本机的宽带是吗你个问题就说我这个但是我听到吗之前喂你好嗯你当时看一下这个宽带什么时候到期 对 宽带密码吗还是它的六位数的服务密码卡的密码嗯对是多少直接报宽带号能查吗嗯我直接到宽带我们这边查不到啊 永嘉怎么用就本机是本机是吧幺五二 
哎你好我现在办了那个业务是什么我现在办什么什么套餐 我我不是那个呢那个现在我已经办理那个那个那个九十九块钱的那个套餐嘛那个送的宽带的是不是下个月开通 一次是是但你这里要先你要把我自己这些全部取消掉噢不是说那个三十八它下个月会自动取消掉 呃对然后他这个月就 
呃前面我收到一个短信说改套餐我想问我现在什么套餐啊 就是前面发短信十一月份开始 是怎么样的新的 不累积里面的不是那如果用的话就先把一百兆用还是想用一点四的呢 
可以帮到你的吗喂你好喂 唉请问一下诶我那个你帮我查一下我这套餐里面呃诶不是我这个什么是不是有开了一个什么家校通啊 啊 噢不不要了他们学校都全部取消掉了不能 
喂 您好嗯嗯请帮我查一下那里面开通一个什么 哎没有开特别的话 那个是三十八块的套餐嗯 
啊喂您好你好我这个号码里面还有那个叫什么有没有一个套餐扣几十块钱的那个那个不是前面三个月有送吗那个 噢号好那个您稍等我帮您取消一下 噢好好 噢还有我们这边的东版那个信号很差呀信号 
你好请帮我查询一下本机要开通什么要收费的 噢 那有赠送什么幺三九一个吗 那帮我预约取消掉吧 
四楼喂你好诶 你不是说那个你看我这个手机号码有那个开通那个宽带吗怎么么当时给我开了怎么还没过来牵的 啊 一直想你帮我查一下那个那个嗯仙游县做为店旁边劝能不能那个能不能开通啊 
可以 嗯我想问一下我这个是是不是有拿身份证跟来电提醒 哦 他客服是没有还好像是什么呃地方就 
哎你好就是我刚才刚刚办理一个套餐是不是你直接查了这边套餐你帮我查看一下吗 嗯那我就得有没帮我取消掉 那还有没有其他的业务 噢那就没有了好 
你好 诶我刚刚收到短信噢它这边显示说什么有变更什么业务信息给我发的 呃 啊 
对 喂你好麻烦你帮我查一下本机是什么套餐 呃然后没有没收费 假如满意一块钱是几兆嗯 
诶你好哎你帮我查询一下这个号码然后里面有什么收费业务你帮我看一下 那退掉吧 退款营业厅退掉 嗯嗯它那个三十元流量包是之前有优惠是吧 
哎我想问你打电话来叫我看看那个二十八的套餐是吗有开通嘛 我不要开了 噢对对对对 卡啊啊您好 
昨天呃你能查到我刚刚捆绑绑定的这个手机号码绑定的什么东西能看得到吗 呃就刚才我今天吗你看下一个人 绑定不是手机号码有没有绑定什么 呃对对对对有没有绑定什么银行什么之类或者什么之类的没有 
诶你好呃我这个本机号码它呃我最最近有办了一个什么七十九的那个宽带的套餐对不对呃 下月一号然后验证的原本的原本的我那个三十块五百兆的那个那个帮我取消掉 啊我知道 那我是一号生效是吧 
你好我本机有有那个签牵宽带的帮我查一下好吗 是宽带帮我查一下是多少掉多少兆的 噢五十兆的可不可以升到一百兆 五十兆太慢了能不能再提一百兆 
都有什么帮我查这有什么套餐呐 对 一那个流量套餐都是 噢你说下个月二十块钱两个g是吗 
我问一下我这个手机号我有开通些什么业务帮我查一下 九十九元套餐是是什么样的 宽带电视服务一个就是一个 其他的业务没有了噢 
诶喂你好我想问我现在用的是什么套餐 那我现在可以改可以改吗 改成学校送四十八块钱那种套餐 这样啊 
噢你帮我查一下这个本地本机是不是有什么加入什么呃集团网呢 哦那能不能把他退出这个网啊 呃马上退吧 噢 
喂你好我想查询一下我这都开通了什么业务 五十元的什么东西啊 可不可以帮我这个帮我取消 这个不要了 
呃请帮我查一下我这个有什么开通什么套餐啊 哦 行 哦这个这个都没事喂我我我就是问一下有没有添加什么打那个游戏啊这种这种这种的套餐有没有 
诶喂你好 喂你好你帮我查一下我这个我是不是有开通其他呢 噢那那个那我流量怎么那么多啊流量结果 好的噢然后到时候它自动会取消是吧 
呃你帮我查一下我这个手机办哪些业务 噢 噢两块钱的来电提醒把它取消吧 好 
你好就昨天有有个人打电话跟我说换什么套餐你看一下我套餐换了没有 改了是吧能不能帮我测了 对啊 因为它那流量我都用不了了噢 
哎麻烦麻烦你帮我查一下我本机都有什么要收费的 哎我三十八套餐是一个月是送多少分钟打电话的 哎 还有 
哦你帮我看一下我这个是我这个本本机是我那个是套餐来的套餐来的他每天都在给我扣费你帮我帮我查一下是哪哪个哪个业务是每天给我扣费 嗯嗯 但是 噢 
诶你好就是我这个月不知道什么手机就是无缘无故扣了请问想知道就是我除了那个四八套餐之外还有什么套餐还是为什么手机话费扣掉啊 啊好 为什么扣我宽带都没有开 我没有啊 
呃请问我开通了什么套餐 啊对对对期间开选包是 嗯可以可以 确实八十八元加一个彩铃的 
嗯你好我是开一个省外流量吗 哎呀 就这几天不可以十块钱是吧 可以呃 
呃您好我想问一下噢我这个号码它里面除了套餐五十八之外还有什么 哦 对啊对啊我说今天怎么发一个过来我之前的话是呃呃有订嘛然后他说 然后还有一个是还有在用完还有没有别的呀 
哎你好问一下我这边的流量套餐都有哪些帮我查一下吧 好像有一个是有一个十元的 呃其他没有是啊没有那个 那我这边的我在收到一个一条那个流量信息他怎么说呃那个省内流量还有一百兆啊 
喂你好我这个本机有开通一个十元的流量包是吧 对对对你帮我关掉吧 对对对我现在还有多少流量 我不是有买了一个那个三十九的那个一个g的流量嘛能看不到吗 
喂你好喂 麻烦你帮我查一下我这手机我已经改成流量是无限用的人是不是这个套餐因为我这边 福州本地的流量过去什么意思 好的啊呃就说我们这个流量但是不是说使用什么无限量 
多少呀 这个名称的到什么地方诶你帮我查一下本机什么套餐的 八块套餐呢有没有开通什么其他的问题 没有别的 
喂你好 我那个不是上次好像有办一个那个三元什么什么是那个流量啊九元三g的那个看电视的那个是不是优酷 呃对对那个能不能取消掉啊 对对对因为现在都用不着 
你好行 你帮我查一下那个我手机开通的业务 可以再给我取消 短信包 
那你帮我手机里面需要收费的增值业务帮我查一下能关的都帮我关闭掉或预约关闭掉 都已经停办了是吗 噢对对还有一个彩印没停吗 噢可以可以可以好行那我就除了基本包十八就每个月了噢 
诶你好请问我这个手机这个套餐是不是有一个什么来电提醒有收费的 这个时候有什么有一些来电每条来下要有收费的啊 没有我已经没有了是不是 谢谢那我我怎么查看这个月怎么优惠有有两条多出两毛钱了我也不知道怎么 
诶您好我这个有开通那个国际的那个漫游啊还是什么的 有开通国际的就是等于是说我在国外的话它也有办法打电话过来是吧 噢那那个那个上网的那个呢 命名 
喂你好所以我想请问一下我这个电话号码它是有套餐的吗 噢那它那个什么今天发什么信息说什么分钟数什么什么的好像说看一下 怎么剩四百七十一分钟啊 这这这是什么然后怎么集团网我是啊集团网集团网是什么东西啊 
就是我想请问一下我现在套餐是什么套餐啊 然后还有什么其他要扣费的吗 好 然后呢 
呃喂你好我想查一下我这个手机绑定那张流量卡是什么时候到期 特别谢谢g的 啊好手机号吧 要到明年吗 
我想问一下我这个电话号码我是有办来电提醒吗 啊我来电显示那我我我没有办我也没有要求你们我关机的时候然后转到短信之类的为什么要这样子扣我的钱呐 一七一毛钱的这种费用是吗对对对我就想问这个问题我都没办过为什么会这样扣钱 但但是没有收通知了我从来都没超过怎么不好扣我钱了我就想这几个月很奇怪我就讲 
哎你好我这个手机的号码是什么套餐的嘞 呃十八块钱的是吧对他其他什么都没有噢 嗯嗯 呃就是说八块钱是来电显示就一个来电显示呀 
正常 哎你好你帮我查一下我十月十一号办理一个就更换给一个套餐一直没收到短信你帮我查一下有没有 不是然后我有另外加二十的就是那种无线上网 那就是要怎么弄 
诶你好诶我想问一下前几天可能有个这个你们客服给我打电话说让我升级到那个什么五十八套餐是吧 我后面那个五十嗯 呃你帮我查看下这里头五十八套餐是不是都没有变更过来到五十八套餐也是有的话你帮我返回去我不要这个五十八 好的噢嗯哦哦 
喂喂你好我想问一下呃我是上个月好像包的那个流量套餐的是吧 帮我回 啊 它是包多少的是送的还是还是八的 
哎你好你帮我看一下我这个号码现在开通了些什么业务啊现在 噢就就只有十八吗 噢二十八是吧 二十八包括什么东西二十八 
呃喂你好我想请问一下我这张号码是什么套餐呢 噢六百五十分钟六百兆流量那你能帮我查一下他最近两个月是什么东西被扣费了 噢那它流量包它那个办五十块到他合起来流量多少啊 噢十块钱是吧那他平时你们有没有超出啊 
啊你好我想问一下我这个这个卡里面有一些什么套餐之类的 就是一个月谢谢你对是的嗯噢一个月十八块那它里面有包含一些什么 啊没有就是就这是不是啦 其他的那种 
诶问一下我这个它那个套餐是什么套餐啊 五百兆流量那我我那个流量不够用了我又我要怎么弄 两千五百 两千五百的省内的噢然后让我打几分钟电话来电 
对 嗯嗯嗯 支付宝嗯这个手机号码是不是那个移动那个流量的关掉了 对本机的 
你好因为这个我有一个套餐是八块钱的是吧 诶那你看一下能不能我换一个套餐的话流量存话费这些好一点都有 三十八块钱不是有一g流量是吧 那还有什么吗 
呃你好呃我想咨询一下就是我那个有一张流量卡的那个嗯那个期限是什么时候到的 我要密码完了密码忘记掉了 如果说直接那个 你这块他直接打幺零零八六的嘞 
诶你好请问下我的卡卡是什么套餐啊 噢那个是关多少回复呢 那流量呢 噢不是能不能分钟可以改一下分钟少的那个流量多点能不能改啊 
你好我刚才那个通过代理点办理了一个那个七十九元的套餐呃你那边之后可以看得到吗 呃对 还这我还没更换了 呃我想问一下它那个呃代理点办的那种七十九块钱套餐有有那个送那个网络电视跟宽带的然后我想问一下它里面的流量包是到一个月是多少 
诶你好啊我问一下我这个手机里面有那个共享流量帮我取消掉了没有 卡二 帮我关掉吗 啊 
那个mp开喂你好小心刚才我诶你这个我再问一下本机现在是什么套餐 那个那个来来啊噢有没有再便宜点套餐呢 手机呃有的流量是什么样的没有带流量什么呀 一百分钟三百兆还还不过来弄下来那套餐里那那个女孩子给我就变成一个月一百真的没开几天吗哎呀那行那就二十八的吧还有二十八的套餐吗 
什么是 你我说你呃我这个套餐是境外险新飞享的五十八是吗是的 流量套餐是什么三百分钟一点五g的流量三百分钟一点五g啊 噢好的谢谢不客气还有什么问题 
喂你好帮我看一下我这个什么套餐吗 一百三十九是什么套餐新全球通的吗 一共是两百多分钟数 国内全国打的是吧 
您好很高兴为您服务哎哇稍等 呃你好呃我这边好像有办一个三十块钱刚才那个流量包的吗 好那你帮我取消掉好吗 啊 
喂你好 呃你帮我查一下我这个号码除了正常的月租的现套餐以外还是不是有开通一个什么流量啊 二十元的二十兆的 呃集团网 
呃你好我想问一下我现在这个手机办了什么业务啊 嗯好 噢那个增值业务这种什么时候开始扣费了我没有办 从二月份吗 
很高兴为您服务哎你好我想请问一下就是我之前呃没有那个人员帮我呃喂我这边一种套餐嘛是有办了一次好像是五十元一g的查一下是不是啊 嗯那那到期的话看它会自动取消吧 就 诶行好 
诶喂你好这个手机里面有什么套餐 然后没有别的吗 那十八里面有什么送一百分钟但是为什么直接扣五十元什么东西 对啊 
诶请帮我查一下本机增值业务 卡 嗯嗯这个我跟你讲这个我们是小孩子用你你你帮我那个互联网那个下个月 啊关掉 
你好我看今天收到一条信息给我开通了一个什么什么叫一个校园的一个一个什么套餐八块钱的什么情况这个 哎 问题我都不知道是什么情况这些那些电话那边的我人在上午怎么可能会加入的人的套餐呢因为他也没有学生啊 没有我就是小孩子小孩子嗯 
噢那个帮我取消一下那个五十块钱的卡好稍等一下好 喂 什么时候生效 噢那你看一下我还有没有还有没有其他的什么嗯退的增值业务啊 
喂 不是你现在我这个套餐是不是八十八的 能改一下吗 改能改那个有有五十八三十八的 
这么说区我这个就是三十八元的套餐啊 好那你看看能不能帮我改成那个十八元的套餐啊 噢 是跟宽带有绑定的是吧没办法吗 
好好 嗯 噢 
诶你好 但我说除了套餐套餐然后呃我办了这个套餐嘛噢然后还有其他的什么业务你都帮我取消掉 对对对对对对对 行行嗯集团网是很好公司的是吧 
谢谢 哎你好我想问一下咨询下我本机的话它是都是有什么套餐呐 啊那知道了 五十g一个流量的吗 
哦你帮我把那个套餐里面这个我这里面好像有个流量包给我开就可以了 啊帮我取消掉 那你直接帮我预约取消掉了 噢然后那个每个月的现在还有说是 
等一下我想请问一下我除了基本套餐以外还有什么业务啊啊 呃好好好好 那还有什么吗说基本套餐以外 校讯通是用什么的 
喂你好 呃我你帮我查一下现在这个是什么套餐的 呃那我这个可以降级吗 呃就是嗯降到最低吗 
呃你帮我查一下这个手机哦就说费用哪些那个业务的订的 噢七十九块是包括那个宽带的对吧 宽带现在是多少兆的那个那个网速啊 二十兆的宽带我是 
喂你好你好我想查询下我本机有几个就是套餐每个月什么消费 家庭网是什么 噢其他都没了那我就是除了一个三十八其他都没了对吧 就这两个对吧这个月三十八一个十五嗯嗯噢那就是说取消不了就不不能取消掉是吧对对对它到时候自动关噢要多久 
喂你好 我这部这部手机是绑定宽带业务帮我查一下 可不可以转一下转移到别的手机 噢这个号码要取消幺 
哎 哎你帮我看一下我这个套餐是多少的 哎十八那上个月怎么有收到了一个多扣了一个什么十块 噢这样子 
我这个四十怎么样子每天都要扣费上线可不是啊 噢宽带宽带消费的上 噢那我肯定会取消一下啊我去交下 噢好我我就我是我这个套餐是什么套餐就是一百一百分钟两百 
喂你好诶我那个你们昨天移动不是有那个套餐我原来三十八的套餐嘛对不对 那现在他你们那个业务员他说要要要用五十八嘞那我原来不是有你们有一个优惠什么赠送什么所以我们我们返还四十元那个那个那个吧我想问一下我完事是十块钱的那个电话费呀那我是到一月一月份到了那我现在查怎么说你那个兆是怎么没有 没有再返还给我啊 你们那边我他叫我改完我本来要改那个小姐还跟我说要改一下等那个一月份才才这种那个掉 
嗯您好我想问一下我早上有变更过套餐是吗 别的收费的套餐业务就没有看到了噢我知道我是呃刚才是有一个呃它有一个我告诉你们移动的业务员打电话来问我他说你们现在移动信息这一款三十八元的套餐嘛然后它问我要要不要更改套餐吗然后我说我要更改然后我就想咨询一下是不是你们那边的优惠打来问不用电视不是我们这边电话打给你我们看不到啊 是要是吧那那我有有有同意要变更但是我不知道有没有下个月 啊没有是吧没有噢然后我就想问一下对因为现在现在现在我也不懂您的电话还没有更改因为那个电话不会显示幺零零八六 
喂我想问一下我那个下个月的套餐是不是这个三十八的那个 我说你们这个可以马上改套餐吗 那我我这个月还是那个二二零一六年了然后这个月刚刚号到期 没有它给我发一条短信 
哎你好你帮我查一下我这个手机有没有办那个流量套餐的 噢那其他的然后如果以后就是说我办了那个一百三十八的吧过后的话这个五十八这个就自动取消了对吧 噢那好谢谢啊 嗯没有了我是以为因为它那个流量就够用了嘛我以为我现在这个还有其他的流量说如果有的话给他关掉 
诶你好帮我看一下我是办理了一个五十八元的什么套餐是吗 能帮我改回来吗 它那个五十八我想问一下他的那个流量跟那个什么通话时间什么什么都是呃分月分送的是吗 如果然后流量呢 
哦你好我昨天去申请的那个叫什么新飞享是不是能有没有给我发现申请啊 你好 我觉得没了没了 对 
喂你好帮我查一下我现在流量套餐是哪一个 那我要把那个五十块钱取消掉 呃好我知道了 
喂你好帮我看一下我那个开通了什么东西啊 呃因为 这个月开了吗 怎么给他开的现在是通过什么方式开的都不知道有开的 
哎你好麻烦你帮我查询一下里面有什么套餐 嗯嗯那其他没有了 噢好的好的谢谢啊 嗯没有了谢谢 
下午好呃您好我想问一下我这张卡有开通什么套餐要收费的 没有没没有开十块的流量吗 就是二十八块钱是吗 十块钱的那二十八块钱有包括什么 
喂您好您好请讲哎能不能帮我查一个手机的套餐在武汉儿子的 开号码号码是幺五零六零三幺六七四九 噢然后它里面是不是有开通什么彩信才零彩印什么这些业务没有其他 就是包不要啊 
诶你好我现在是什么套餐 我上个月已经改过改了 有啊我上个月打你们客服改的然后这边短信我已经确认了这个月生效二十 几号我忘了那应该是上周的到月份超了嗯嗯短信我这边恩我也没早上噢你这个改那个的它短信是 
呃喂您好那个我问一下我我的手机现在有有没有什么增值业务啊哎我看一下您稍等一下 现在那我查询了一下还有一个增值业务是什么一万都有的呀 呃上个月 然后这个月的话我已经取消掉了吗还是说到月底它会发 
您好请讲哎你好我想请问一下我这手机里面是不是有个彩铃业务元的哦嗯是的一个是查不到上没没没没那个帮我取消掉噢好的那我这边就我这边就帮您取消掉了啊下个月就没问题好吗办理了活动公司嗯好的我这边给您关掉了下个月开始失效还其他嘞好嘞行嘛哼嗯嗯还有什么没有没有 
噢那个你帮我查一下我手机上是不是有一个五十元的套餐 嗯对对对好的 噢好的谢谢 哦还有就是我下个月是有订八十八元的套餐这个不是八十八的是 
诶你好我刚才申请了一个那个什么四小时一g的那个流量包是成功还是没成功 就是 哦好的好的因为短信是说成功可是刚才又说什么系统开小才所以我不知道到底肯定 噢好的好的行那我现在就可以使用了噢 
诶你好我想问一下我这个号开通的那个移动宽带是多少兆的呀 多人保底的宽带 提示关掉了呃提速到五十兆的包月宽带到底是二十的还是五十的 到十月一号那边那我查了九月份我就再扣十元提速包 
噢你好呃帮我看一下我这个手机有什么业务 噢就每个月只消费二十八块钱是不是二十八然后再加上您的宽带吗宽带也是每个月扣掉的呀 那我是不是以前都是一次性呢那个吗 噢噢好好反正我就是每个月要扣是多少钱 
哎你好你帮我你帮我看一下我这个手机号码这个积分有没有开通啊 有多少积分 噢他他这个积分是一个月有多少 啊消费一块钱是一分钟是一个月内 
你好我想咨询一下我那个有个八块钱的叫叫什么东西 帮我取消可以吗 呃你帮我解决都没用了 啊好好 
我这边短信功能有没有被关闭了 喂的短信收不到嘞 噢那你帮我把 哦我就是换另外的手机还是不行啊 
呃你好能不能帮我查一下我这个这个手机号里面有里面有有什么业务 呃那这个这个项目给我删给给我取消掉呀 噢 彩铃彩铃删掉彩铃不要 
诶你好我给你我想查一下我这我这个手机的套餐外还有什么其他的那个 现在能关吗 就是那个活动那个 那个大概什么时候关闭 
哎你好我想查一下我号码有开通什么业务啊怎么话费打这么久嘞 对啊我都查一下打了九十块掉啊 啊啊那我刚刚资费那个宽带去那个地方都没有啊 没有说这都是要到期反正不是快到了 
呃你好你帮我查一下我这个号码有有开通流量吗 好哦 噢有送一百兆的流量多东西噢噢然后你最近这边还有没有什么套餐流量的套餐可以另外两条那个吧 噢一块钱呃怎么改但是一百兆啊 
信号我添加一个家庭网也是现在有没有生效呀那个幺五零六十条是 我刚刚申请的现在有没有推销啊只要一个六零三四四 对有没有错 啊已经交进去了嘛 
喂你好我想看一下我这个月有没有那个任我用的这个套餐是下个月二十块那个吗对对对 恩好 九月十三号这个号码已经受理成功啊 噢诶我前两天才弄的卡诶那好 
喂你好你帮我查一下我这个号码诶除了我诶前天订办的这个诶九十九元套餐它它然后跟宽带的还有一个一个 五十元一g的是吧 然后我现在他现在是已经生效了吗 噢那那我之前的那些还有什么业务吗 
喂你好 我不是上次不是开通那个三十块钱的流量费吗 呃是取消掉学院昨天一个流量套餐不办了一个我想办了有什么套餐给我取消掉 啊谢谢啊 
我要我就我问一下我的手机除了那个三十九套餐还有什么因为流量肯定用的很多你帮我看一下 其他的话就没有 噢就是流量怎么用这么换 没有没有谢谢嗯不客气 
啊请问一下我这个卡是不是开通了什么业务呢 嗯套餐 怎么往你说 对噢 
哎你好我现在这个号码有什么套餐啊 多少 噢然后我这个月也没什么用什么扣了一百五十多 上网啊 
喂你好你好呃请问一下现在那个我把我把我们那个套餐现在是什么那个 啊五十八的套餐吗 呃打电话是按怎么三多少分钟 噢在在外省的话那只有一百分钟呢 
喂你好 我想问一下我下我这个订购的流量是一一块钱的还是六块钱的 哎好好可以咱们跟 一块钱啊恩对没错那为什么信息四块钱十六块钱 
你好像啊你好你好哎你好我想问一下我这边开通了什么业务啊介绍点 那你就就那个八块钱的那个需要的是什么作用嘛大概 噢那那我这个这些业务我不要可以取消吗 噢没有别的事了我就是想把这个八块钱多都已经 
到 不要不要的喂你好 呃我想请问一下我这个号码套餐都是哪些 三十八的都是什么套餐 
嗯嗯 呃我我这个号码现在用的是什么套餐怎么一个月话费扣得那么厉害 噢那那那个哦那个什么 嗯嗯 
嗯 你好我问一下我这个移动数据流量 啊 有正常开着对啊 
诶你帮我查一下我看我现在用什么套餐 三十条三十八套餐 那如果我这个套餐要升级可以吗 没办法没办法升级吗 
哎我想问一下我现在这个套餐是什么套餐啊 三十八元套餐 呃他钱就是那我这个现在 噢那三十八里面有包含什么东西呢 
喂 你好我哎你现在套餐是什么套餐呢 噢三百五十分钟是吧 二按流量多少 
二幺二查一下这个本机有没有开通什么业务 呃不是我现在还没有什么银行 八元那其他都没有没 爱的套餐是包括来电显示这些了嗯 
诶 喂你好请问一下我是不是有那一个五十八元的那个套餐 把我那个套餐能取消吗 哎就可以更换什么样的套餐 
喂你好 我想我想问我想问一下那个那个那个那个手机那个那个流量啊回电任性用的那种兆套餐是多少 一百三十一个月是一百二十八块多 那还有还有没有比如他应该是一百八十八是省内流量无限量 
诶呃你能能不能帮我查一下看我现在这个 看看就是办了什么套餐 到三八帮我帮我这个删掉呃我还有还有我八十八块钱的套餐我不要有没有三十块的套餐最便宜的 呃对三十八的帮我换成三十八的好不好 
呃我这个卡有没有来电显示啊 哎 有开通来电显示啊 那怎么人家打过来的号码都没有显示嘞 
嗯嗯 呃你好我安装帮我查一下我这个呃套餐这个月这个卡的套餐的情况楼 毛九然后就是说是不是可以改套餐说改等下个月从十月份开始可以改成九块钱一个月的套餐 那它可不可以改套餐吗 
自己喂你好 我想咨询一下噢我有办理一个那个一g流量套餐嘛五十元那个一g流量套餐那好像是这个月到期嘛这个月到期之后它是呃自动续期还是说停掉啊 就是已经是进这种信息是关掉的状态是吗 好的好的 
哎你好我这个号码呃我这个号码怎么是哪个套餐 另外有一个还有先生 要取消 没有了好谢谢就帮您把它取消就好了好 
你好帮我查一下这张卡套餐上面那个呃什么有什么业务 诶他也没有转移的呼叫转移没有 本人手机上面那张卡上次设置给设置错了 噢没有其他业务吗 
呃您好帮我查一下我本机的话呃超除套餐的话有开通什么其他收费收费的业务 上个月的 其他都没有噢那你帮我查一下我每个月都用呃那么多是怎么超过了呢 都是打电话超出流量不会超吗多的流量费用啊 
喂你好那个现在还有你帮我查一下有有些什么套餐 对对对 那两个流量包可以帮我取消掉吗一个三十元是的 嗯对对对 
喂你好你帮我看一下我那个安心锁有没有关掉 可是我要把它关掉我要那个弄那个什么无限无限流量呢 我我已经试过了它已经它说什么业务失败有很多次了 就没办法直接取消吗一定要发短信才能取消吗 
这个这个喂 呃如果没有办流量套餐的话它是正常的是什么一个 
嗯 哎你好我问一下那个我这个手机是不是绑定的宽带啊 我刚才有赠送吗 我这手机户主的名字叫什么啊 
喂您好我问一下我这个卡套餐是多少 八元的 为什么会扣二十九元 关掉 
你好 啊帮我查一下我办理那个五十块钱的流量包有没有开通啊 还有八百五十五多少 那这个我我我这个可以下个月可以取消吗 
啊 我的手机下个月他帮我办了一个五十八的套套餐比较 你给我查一下他帮我办办的还是没有办 不要五十八我改转八零零 
