你好请讲其他 喂您好 先生嗯请讲 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 
您好很高兴为您服务 哎你好这个手机是我家亲戚的老人用的所以我帮他问一下这个手机是每个月是什么一个套餐流量多少通话时间多少 没有通话时间流量是三十兆流量十六块钱亲情套餐打电话市话是一毛钱一分钟上海本地接听免费 哎是不包含通话时间的对吧 
您好很高兴为您服务 上再想这个月的套餐是多少你给我开通啊 目前您是十八块的四g飞享套餐其他收费服务没有就是十八块 就显示那个上面显示都不会反应 
您好很高兴为您服务 唉你好我就是现在没有漫游业务对吧 卖嗯现在都是从从九月一号开始取消漫游了就是您可以把里面的一些什么ip长途包啊呃这种就可以取消掉了以后就是下个月开始无漫游了 这个漫游怎么收费的我这个 
您好很高兴为您服务 喂你好我这个手机号是不是办理了那个亲情号那个什么东西 申请哈您稍等对有一个家庭畅打包的 经办了的你你帮我关了吧 
您好请讲 谢谢喂你好我想问一下我这个老套餐 可以的要改什么样的套餐 就是流量稍微多一点对每个月消费一千块钱的那种我跟 
您好很高兴为您服务 你好我想问一下我这个号码是不是升级成了全球通的嘞 对现在就是五十八元四g飞享套餐了 噢意思说全国接都是一样的通话费用是吧 
您好很高兴为您服务唉你好我想问一下就是我现在这个手机里面有什么套餐啊 好您现在是一个四g飞享八十八的其它收费业务都没有就八十八两百二十分钟七百兆流量就这个 噢两百多少多少兆流量 两百二十分钟七百兆的流量 
服务谢谢唉你好 我想问一下我这个手机号那个有没有漫游的韩国的 国际漫游国际漫游开着的 开始的呀但我上次去怎么就是不好 
再见您好很高兴为您服务 唉你好问一下那个本手机的话都是后来又加原来是八八月份的那个套餐是吧 嗯嗯什么套餐你说本改什么套餐 我手机是不是八十八元套餐原来 
高兴为您服务您好 喂你好帮我查一下我这个卡开的是什么业务 这个卡吗 啊对 
您好兴您服务您好 喂你好我问一下我我这个我这个你送我那个什么三十g那个那个那个什么东西哦再优惠看视频呐 这样那您目前是订那个优酷视频流量包就是在指定的优惠视频客户端看它本身普通自带的食品资源用那个三十个g去抵扣 什么他是我在我在看的时候它扣我自己的流量呢 
您好很高兴为您服务 唉是这样的哎麻烦你帮我查一下就是我那就是每个月都有咽账单到我的那个qq邮箱的 那 平时呢我就在营业厅付的这次呢我在手机手机上付了然后那个这个账单还会推算给我吧 
您好很高兴为您服务 你好我想问一下麻烦你帮我查一下那个我那个手机现在是什么套餐呢 手机什么套餐现在套餐是五百分钟通呃三百分钟通话五百兆流量 然后就是有什么有什么什么什么到什么时候到期是吧 
您好很高兴为您服务 喂你好我想那个问一下我这个手机那个当月的那个套餐有哪些 好的请稍等我看一下 好的好的谢谢 
您好很高兴为您服务您好 唉你好我请问一下我看想看一下我这张卡这个短信是不是关关闭了 嗯对是的新方面目前没有没 目前没有啊 
您好很高兴为您服务 哎你好我想那个确认一下我那个国际漫游开通了吧 嗯你说国际漫游是吧就我就帮您开通开通好了他是六月九号开的到七月九号结束噢 就是呃我到俄罗斯将正常都可以打电话的是吧对是嗯然后你帮我关一下流量是吗 
您好很高兴为您服务 嗯请问一下我这个是三十八块钱的套餐吗 对是的 还有其他的吗 
很高兴为您服务 喂你好呃我想查一下我现在那个套餐的话是什么套餐 套餐月租费五十块钱的里面是两g的流量一百分钟两毛 噢那个呃我想换一下那个还有别的套餐吗 
很高兴为您服务 喂你好你帮我查一下我这个手机号码申请的宽带我现在就是咱们搬走了我看了没有有没有一万 现在有没有再用了我这边是查不到的我只能看到这宽带还在的你这宽带是要营业厅吗还是说到期不想 是车贷来因为我这宽带我现在办了加起来呢我打电话也问过了怎么他那边不好没没有没有那个什么喂王点还是没有接听呢 
很高兴为您服务 喂你好帮我转一下你们那个呃人工做专线专人 呃是反映什么问题吗因为这边选择类别才能转 噢我要查询这个手机匹配的 
您好很高兴为您服务 唉我问一下我那个现在办的那个十块一百块十个g送三十g三十个g的套餐什么时候订是吧 噢您说的是那个三十个g的视频流量包吗不是啊是一百块呃您是说本地流量 对 
您好很高兴为您服务 那你帮我查一下我下个月预定的那个套餐是什么套餐 你下个月看一下还是跟这个月噢这些流量变更了流量升级到五个g另外再送五个g送到明年六月底 噢好的好的 
您好很高兴为您服务 唉你好帮我查一下我现在套餐是怎样子的 恩好的我看一下您现在套餐的话是呃六十八块是一百分钟通话和七百兆流量六十八块一个月 噢现在我想换一个稍微优惠一点的用呢 
很高兴为您服务 喂你好就是刚刚就是也是呃给我打电话说是有一个免费的一个订购国内定向的好像是vip视频的那个其它先帮我你看你帮我查一下是不是到我已经办了 这业务已经办好了生效了一下 但是为什么它不是免费的吗为什么是二十八元定向 
很高兴为您服务 呃查个号码的套餐需要我查一下二幺幺七幺四三幺四五 手机密码知道吗 我号码还没有办完呀 
很高兴服务你好你好你好 请问请问一下我这个下个月是三个g流量开通了就是到 到六月份 到明年六月份 
好很高兴服务呃你好我想问一下我的手机是不是有没有开通国际漫游 好稍等帮您核实一下已经开过了女士就正常状态 诶 国际漫游已经开过了都是正常状态 
您好很高兴为您服务 唉你好我想问一下就是我现在办这个套餐是六十八的是吧 嗯那个六十八的 噢对我我想下个月帮我升一下可以吧 
您好很高兴为您服务 喂你好小姐我想查一下我现在这个家庭畅享计划是不是就是那就是有的 对下个月您还是有这个家庭正常计划的权限 是原来的那个不能搞了一个过来注销掉了 
您好很高兴服务 喂你好我我想问一下我这个手机我们家庭包嘛对不对 对 我这个家庭的我现在五十分钟话费你送的五十分钟话费用完了之后了 
您好请讲 你好我想问一下我开通了什么套餐 套餐是一个四g自选套餐然后一二百一呃有一个一百六十八块钱的语音然后加了一个流量是五十块钱的个多少的其他的我看一下其他的还有没有啊然后您这边 有 
我现在 您好高兴服务 你好 你好请问 
你好请讲唉你好 我收到一条短信啊我原来我这个号码是二十八块对吧 对 哎嗯你说什么重新订的呀可以生效什么增加话费啊就这个是吧 
您好很高兴为您服务 喂你好 您好 唉请帮我我查一下这个我办的那个全球通啊现在可以用了吗 
很高兴为您服务 唉你好你这边上海移动对吧 对这边是上海移动 噢好的那个你帮我查一下我有个手机号幺五八零零 
您好很高兴服务哎 谢谢你帮我看一下流量好吧流量前两天我要求关掉的现在帮我看一下好先生姓名麻烦报一下 周萍姐好您挂机之后把手机重新启动一下就可以了啊 还有什么帮您呢 
您好很高兴为您服务 喂你好 喂你好 然后麻烦你帮我看下我现在那个套餐用的是什么呀 
您好很高兴为您服务喂你好嗯您好请说 那个我这张卡呢昨天才办的然后我这上面套餐什么的我不是在那营业厅办的我是这样子别人那个店里买的那个直接的那个卡然后我想查一下我这个卡上有什么套餐 您是一个四g随心卡然后是十块钱一个月的就八块钱是打电话两毛五一分钟打电话打一个算一个两毛五一分钟然后全国接听免费另外您有一个两元上网随心包就如果不上他不收上的话是先收您一块钱有三百兆的就可以用三百兆本地流量当天可以无限叠加的就一块钱三百兆本地流量当天无限叠加如果走国内流量就零点二九一兆来收取费用就这 呃那我可以办理套餐吗 
您好很高兴为您 哎你好我想咨询一下 嗯嗯 但是那个嗯我原来是五十八的那个套餐返嗯就是嗯现在就是说后来就是说申请了申请一个就是也是你们客服打电话来就是说问我要不要申请那个 
您好很高兴为您服务唉你好是这样我想咨询一下 我觉得我 现在那个套餐帮助 我我想问一下的套餐功能一个吧 
您好很高兴为您服务 唉现在我想咨询一下我你帮我查一下我现在家庭的那个移动 呃 到什么时候到期 
很高兴为您服务 唉你好我想查一下就是我用手机呀申请那个宽带到什么时候到期了 那先生我那这边帮您转到宽带专席包括您哪个号码跟这个宽带要跟他说明一下啊清楚那这边先帮您转接以后号码您要查询业务也可以通过关注我们中国移动幺零零八六的微信号操作那先帮您转接为了更好解决问题将电话转宽带专席请稍等 
您好兴您 哎你好我想问一下我这个手机现在套餐就八块钱一个套餐对吧 稍等一下对是的八块钱一个四g飞享套餐唉 其他没有什么那个吧 
您好很高兴为您服务 哎我想查询一下我这个手机过去业务漫游开通了那个 没错 没开现在你可以帮我开吧 
您好很高兴为您服务 喂你好我想请问一下呃我这个上个月办理了一个什么看视频的那个 恩 嗯赠送流量吗是三千多兆的是吧是看什么问题 
您好很高兴为您服务 呃你好我想我想查一下我的手机这个套餐有没有什么套餐 您现在是一个自选套餐八十八的下个月是十八的一百兆流量打电话一毛九一分钟中国 联通我想把那个下个月的十八套餐一下行吗 
什么 幺 您好很高兴为您服务 唉你好就是我你帮我看下我这个手机都有什么业务 
您好很高兴为您服务 唉你好你帮我查一下我这个手机现在是什么套餐 您稍等一下帮您看一下您现在使用的是一个四g的飞享套餐五十八块钱一个月的然后您这个套餐里面的话呢包含的是我稍等一下 噢它里面是有一百分钟的国内通话然后还有五百兆的上网流量的 
您好很高兴为您服务 喂你好你帮我查一下这个这个号开通了什么 呃这个号码目前的状态是一个十八元的一个购买你在网聊套餐其他没有收费业务了套餐内容是每个月送一百二十兆流量然后市话长途一毛八一分钟上海接听免费对啊 噢好哎 
您好很高兴为您服务 啊小姐你好 嗯 呃那个叫什么你帮我看一下我有一个副号码 
哦还有什么帮助 您好很高兴服务 拜拜你好我问一下刚才里面是那个我是什么套餐你给我看一下吧 套餐你是一百三十八一个月套餐送五百分钟通话一个g的流量 
您好很高兴为您服务 喂你好 恩你好 我这个手机号没什么业务吧 
您好很高兴服务 喂唉我想问一下我国际漫游开通了吗 国际漫游对吧 噢 
很高兴为您服务 唉你好先生唉我我在看这个手机对吧它怎么通知我您在使用流量了我上一次电话打过他说我这个流量已经你现在锁掉了不会产生流量你帮我查一下有没锁掉 我看您是二号就帮他停掉了 啊最低掉了对吧 
您好很高兴为您服务 喂你好我刚才申请了一份那个十元的流量那个什么加油包你帮我看一下那个生效了么 恩在包生效了可以用了 现在是还有多少流量 
很高兴为您服务我另外我现在用的什么套餐 这个月是十八元套餐下个月改了九十八元的套餐 其他没有别的 下个月改五十八的套餐是吧九十八九十八是吧对对啊还能生效那我那个九十八里面包含什么呀呃两百二十分钟免费通话流量有两个g国内通用流量包 
您好很高兴为您服务喂请查一下我现在都有什么套餐呢 噢好的 看一下啊谢谢啊 嗯不客气套餐主要是一个一百零八元的一个全球通自选套餐套餐的话呃那还有个十块钱短信里面就一百一十八这个主要是一百一十八然后套餐外有一个叫新版流量至尊包的业务一百块的十八块钱的 
您好很高兴为您服务 唉你好那个刚才我开了一个七十块两个g的国内流量就是我想这个它是它上面写的是下个月生效是吗 恩对是的 对那我可以帮让他这个月生效吗 
您好很高兴服务 喂你好嗯是这样的你帮我看一下就是我的那个套餐是不是就是现在每每个月月消费总归是一百零八是不是以前我因为时间有点长了是不是已经是有过一个协议的 对这个协议还没到期先生 呃协议是要到几号到期 
您好高兴为您服务 喂 您好有什么可以帮您 哎我想问一下我我现在你之前我有一个套餐的业务什么八十八的是不是快到期了 
您好很高兴为您服务 啊你好你帮我查一下我这个手机号是 套餐套餐一百五十一百五十八的五百分钟通话两g流量的 要一百五十八两g流量五百分钟是吧 
喂您好很高兴为您服务 唉你好 你好 你看我这个这个手机号码是主套餐的就是送家里那个什么那个承诺消费送宽带的本月底到期了是吧连续费进去 
您好很高兴为您服务 唉你好是这样的就是你帮我看一下我这个月的那个流量套餐是什么情况你们不是说超了的流量然后是我看短信上是十块钱一百兆吗是这样算的吗 对十块钱一百 那我这个月怎么就超了以后我已经扣了三十块钱话费了那就是三百兆喽 
您好很高兴为您服务 唉你好唉就是客客户是这样的我想问你一下走我现在用的那个流量套餐现在是二十元的套餐是不是啊 流量呃支持的对二十元的 那么现在因为我有一个电信的流量我是不是从下个月开始可以把这个流量套餐给停掉 
您好很高兴为您服务 啊喂你好你帮我看一下我这个月租是这都是怎么样了 您这边是一个我看一下啊您套餐是十八块钱的一百兆流量国内主叫呢是一毛九一分钟然后全国接听免费的 噢就是打电话一毛九一分钟 
您好很高兴为您服务您好很高兴为您服务 我肯定 您好很高兴为您服务 我开通了什么业务 
您好很高兴为您服务 唉你好我现在手机的套餐是多少 您现在是一百二十八元的套餐是三百分钟通话还有两个g的流量百二十八一个月 啊两个g的流量是吧那我现在在外地是否用什么流量 
您好很高兴为您服务您好很高兴为您服务 唉我麻烦问一下我这边有一个你们中国移动的宽带吧是吧 噢对有的是的先生 行给我发的那个昨天那个现在不能用了什么叫智能卡什么预授权通过七月四月十五号是什么意思啊 
您好兴为您服务 呃我想看一下我的现在用的什么套餐 现在目前用的是呃四十八的一个四g自选套餐五十分钟通话流量五百兆 那我上次营业厅我办的时候上个月办的时候他说还会返还三十块好像没有返还吗 
您好很高兴为您服务 喂你好那我这边宽带 嗯 我这个宽带二十兆的吗然后就是老师老是那个就是返还不了了都是手机的时候电脑也有有的时候是这个样子 
您好很高兴为您服务你好我想咨询一下我现在这个 是有多少 五十八您是五十八的两百二十分通话一百兆的流量 知道 
您好很高兴为您服务 现在我想咨询一下我六月份七月套餐是不是改了呀因为我看一下大概是不一样吗因为我看我六月份本来是通话是三百分钟的然后到七月份的二百二十块钱的对没有它不是改它是之前您因为有活动 您现在是八十八套餐套餐是两百二十分钟七百兆流量之前因为您有个飞享特惠活动是额外送您八十分钟通话和三百兆流量但是它活动是搞到一七年六月份就结束了 噢对对 
您好很高兴为您服务唉你好你帮我查一下我这个手机 的那个那个校多终端的那个流量 嗯对幺 呃我这边在响了几个人 
啊 应该身份证和喂呃 你帮我看一下现在我用的那个套餐 是多少流量 
很高兴为您服务 你好我想问一下就是我这个手机的宽带业务吧就是说有一个家庭的套餐他是说是办理家庭宽带费用这个什么东西啊二十兆包年的当前的套餐是一家通标准二十兆包年对吧 我现在这个套餐这个这个情况 但是我现在要续约续约我看到你们有线写了一个三种的套餐的形式一个是个人承诺一个是家庭承诺我看到家庭承诺消费宽带是五十兆宽带九十八块钱十二个月这是什么概念 
您好很高兴您服务 唉先生我我那已经就是手机上面是一个就是长途包的那个套餐就是说现在不是不是取消了那个漫漫游的那个那个费用吗那么这个长途抱歉都没没够用了 那我想跟您说的是您手机号码没有什么长途包 呃我我这个手机以前是八块钱的那个长途包 
为您服务喂您好哎你好 唉我问一下那个宽带现在移动办的好像现在已经快到期了是吧 您本机号办的这个宽带是吧对对啊我帮您看一下好那这个到一八年的一月底还有两个月 噢两个月是什么一月份需要续期吗还是怎么样 
您好很高兴为您服务 喂你好我想问一下嗯我现在套餐是五十八元套餐的是吧 嗯嗯 嗯然后呃是不是我给我答复买了一个订那个宽带吗我们两个是加起来就是说我一定要满五十八能够免费办这个宽带 
您好很高兴为您服务 嗯小姐我想问一下啊我现在这个客户让我是多少钱的 不好意思套餐月租是一百零八块的月租一百零八 噢就是原来一百三十八的改掉了一百四十八的是吧 
我 您好很高兴为您服务 唉你好你帮我看一下这个幺五二幺五二幺六六零 幺六六零 
您好很高兴为您服务您好 唉请你帮我看一下我现在手机是不是五十元两g的这个流量是的嗯然后现在是不是有一个什么升级的四g自选套餐五十元可以想清楚的 嗯对但是您这个办理不了您这个如果想办理这样的前面您输入的那个号码的服务的话您这边的话最少您这边的话要办理七十块钱以上的业务也就是说您需要办理七十块钱三个g的服务啊不是您平常是升不了 为什么呀你们这个标准是吗 
您好很高兴为您服务 喂你好我我我也不是送申请那个宽带吗到营业厅嗯嗯明天还有多少营业厅是发个短信说密码您按照十条使用的这个不要弄发一条短信删掉我把这个卡是不是消掉了对吧 那我把查询账号密码的方式发给您稍后您自己发短信过去它会把账号密码重新再发给您的 那是怎么我也没看见但是他说到时候调整是用的到的 
您好很高兴为您服务 唉喂你好呃我想麻烦你帮我查一下这个手机是不是有一个呼叫转移样 越南有的要关掉吗 呃对帮我取消掉 
您好很高兴为您服务 唉你好小姐我开通那个国际漫游你帮我确认一下开通了没有啊 您来电这个号码国际漫游已经开好了 先开好那他说给我发过来那个费用那个短消息我也没收到 
您好很高兴为您服务 你帮我查一下我那个改个套餐 改套餐 啊呃下个月生效是吧 
噢四五六零三八的 号卡还你好不好你说 完 还还有上网哇嗯嗯 
您好很高兴为您服务 唉我刚才打电话过来小临时关闭一下那个那个数据呃手机功能那个恢复的时候是要他十一月三号凌晨恢复你帮我看看 嗯十一月三号是吧 哎呀好像开了两号是吧 
您好很高兴为您服务您好 唉你好呀是这样的嗯我想问一下我这个来电号码是不是没有四套餐啊 啊没有四g套餐呀这个套餐就是以前很小的那种呀神州行的呀 帮我换一个语音 
您好很高兴为您服务 唉你好唉你帮我查一下我这个手机号现在这个套餐是兆的对吧到期了是吧 嗯这个号呃没没有到期啊那个要要到两月份到期还有一个月 你好我前面打电话他说到十一月底怎么一会会要到两月份了 
您好兴为您服务您好你帮我看一下手机现在开什么套餐 那就是自己上网八十八元套餐然后下个月换了一个指向八十八下个月是三百分钟五百兆流量 嗯嗯明白什么一分钟 额外的话费额外有一个是我三月的来电提醒还有个五元的彩铃参加那个资费签约承诺八十八两年返话费的活动 
您好兴您服务您好 你好你帮我看下我这个号码 就是刚输一下您的号码是吗 业务 
您好很高兴为您服务 啊喂你好我想问一下我的手机就是我昨天晚上好像就是弄了一个那个什么用户视频什么的你看是什么情况 有的有一个用户视频流量呢每月是二十四元三十个g的做今年的话它是免掉的从明天开始收费二幺二四今年年底之前二十元是都是免掉的 噢这样的是吧但是从十二月十二月底开始收费 
您好兴您服务您好 唉你好我看一下我刚刚办的那个呃那个就是你帮我看一下他帮我呃帮我下个月是不是改个套餐一百三的那个什么流量吗 嗯零一百三四个g就是这个月临时按天折算的流量包下个月没有的取消掉 因为我想问一下我因为下个月我要换成一百三的我不需要的 
您好高兴为您服务您好 喂你好我想问一下我现在这就是套餐是什么套餐还是手机他不是每个月有那个详细的流量吗 对是的然后再送你三个g的国内流量 对但是我为什么我刚才查的时候能用的话就只有一g多的呢 
高兴为您服务 喂你好我想问一下就是我现在这个手机就就是现现在是那个什么套餐 本月是八块钱的那个最低月租八块的下个月已经改成了十八块的四g飞享套餐了 噢我那个八块的就是他现在就是包括哪些哪些东西啊 
您好兴您服务您好 哎你好我想问一下我现在这个手机号的那个国际漫游是开通的吗开通的状态 嗯本机的话目前是开着三十天有效到十月二十六号零点失效 噢十月二十六号好那没问题了谢谢哎跟日本人用对吧所以对如果您手机支持就能用 
高兴您服务 唉你好我就想咨询一下我那个就是手机号码为什么不能凌晨那个四g流量 部门呢就是现在那个饱和周年对吧 对 
您好很高兴为您服务 喂你好我我想问一下我之前是五十八的套餐上个月打电话叫我改就到期了现在我没改那个我的套餐是多少 套餐没改您还是五十八现在您需要改吗 他说不需要我就是问一下因为上次他叫我来改没有改一下但是我问一下 
您好很高兴为您服务 喂哦您好请说 九月八号还是九这个 手呃您好听不太清您说什么麻烦您调整一下要咨询什么 
高兴您服务 唉我我就我不是那个买的下个月流量包吗十块钱什么到八号结束的对吧 可以 你们这个这个流量怎么怎么查都查不到啊在哪里查呀您可以看看 
您好很高兴为您服务 唉喂你好那个我想问一下我现在短信的那个套餐里有一个三十g的那种最低流量吧 恩对 呃我下个月的的身份证消费为什么 
很高兴为您服务 唉你好我问一下我之前申请了你们一个宽带新装的一个业务但是好像 嗯嗯 这个网上预约的时候有点问题你能帮我查一下我这个订单吗是这个本机号码好像您查一下能查看吗 
您好高兴为您服务 哎你好我想问一下我这个月的套餐是什么活动 那你说这个月套餐对吗 对的 
您好请讲 唉你好是这样的我想问一下因为我那个套餐里面有一个咪咕之前赠送的一个流量包吗我想问一下为什么这个优先级还能高于那个假日包啊为您 我看一下啊 嗯嗯因为我邻居加油包肯定是就是最高了 
为您服务 哎你好我想查一下那个现在就是本机的这个流量的那个套餐是什么我想改一下 本机流量套餐您是五十八的套餐一百分钟五百兆流量的您要怎么改呢 五佰兆是吧那现在可以升吗 
很高兴为您服务 哎你好我想问一下我这个就是套餐现在使用的是什么套餐就是你能跟我说一下吗 先生目前是换机带的三十八元的上网套餐里面有八十分钟的本地通话两百条短信两百兆流量 我短信可以不要吗 
您好很高兴为您服务请问一下我这个现在这个月租多少钱一个月租呀 八块钱的神州行标准卡还有两块钱气象助手 这个信号就是我可以另外取消掉吧 手机密码知道吗我帮您取消 
很高兴为您服务 您好很高兴为您服务 有什么可以帮您你刚刚 您好输入按一 
为您服务 唉你好麻烦我想查一下因为我收到你们那个短信账单吗当当中有一个一百多块的其他费用这个是指什么费用啊嗯嗯 七月份对吧对稍等我帮您查询一下 谢谢啊不客气稍等 
您好很高兴为您服务 你好就是我之前呃那个家庭那个畅听包里面那个电话号码吗然后我不是我刚刚是上海一个加油然后他跟我说下个月自己前台说一下我现在说这个是可以申请 嗯家庭呃副号码吗那个删除的话是下个月生效就添加副号码如果您本月呃五个人没有买的话可以加本月立即生效如果已经买了就只能下个月生效 好的你看我这里买了呢 
您好很高兴为您服务 你好麻烦你帮我看一下我昨天晚上改了一个套餐是不是你们那个三七八十八的你帮我看一下 三g况到三g再送三g的流量送到明年六月份已经办好了 噢 
您好兴为您服务啊 喂你好 请说 哎请问一下我这个手机它上面有什么呃流量的套餐吗这个手机号 
为您服务 唉你好那个是这样那个我这个全球通号码我之前是为了留这个号码嘛然后当时办的一个最低的一个套餐好像是十八块钱的你帮我看看这样子 对是的 是的是吧然后你你这边有有那个我我现在这个手机号码我要开始用了那个有有没有什么还是全球通吗就是那个有有什么套餐吗我想用大概五十八到五五十八兆十八十八兆的差不多这种套餐有没有流量稍微多一点的 
您好很高兴为您服务您好 哎你好我想问一下我这个手机号下个月是老有收费业务呢 下个月换了一个六十八元套餐五十分钟通话时间两个g的流量然后再送两个g的国内流量一共有四个g的流量下个月 噢就是五g的流量 
您好很高兴为您转接是那个 哎你好我想问一下我的那个宽带他大约好像对你帮我看一下我是几月份到期啊 好您稍等宽带我看有续订了下个月开始是到一八年十二月一号就制定过吗回事的 没有啊 
您好很高兴为您服务您好 现在我想问一下现在我呃我我是郊区的什么一个宽带对吧我现在这个宽带是我十八点五十八块一个月嘛 噢 我就说说什么一百二十块一年的有这种宽带吧 
您好很高兴为您服务 唉你好我呃有那个就那个流量加呃就是流量加油包是吧 万一不够是吗 唉是的 
您好很高兴为您服务 唉你好我问一下就是那个呃我那个呃重重置那个三十个g那个流量啊对不对 然后呢二四 你你我我有这个业务嘛对不对 
您好很高兴为您服务 唉你好可以帮我查一下我们公司旗下一个电话号码是否已经开通了国际漫游吗 噢好您手机号码能报一下帮您核对一下 呃幺八三 
您好高兴为您服务呃我刚才打过来帮您转到宽带那边去好的没问题那您宽带什么问题是安装呢还是要咨询什么问题我帮您转接一下我这个到期了但是他刚才打电话提示我信息了已经但是我网上查了还没有到期啊就是说您想咨询一下到底什么时候到期对吗对对对哼 不好意思那为了更好解决问题我先生你电话转接专席您不要挂机 
您好很高兴为您服务 你给我查那个帮我发一个这个我这个什么套餐 你现在是四g飞享套餐十八块钱一个月的 十八块钱那个我这个开始从下个月扣刚充话费就用用 
您好请讲 喂你好我想我想查一下这个手机号码之前的那个互联网那个就是那个上网业务是被关掉了吗 上网功能是吧 对因为我昨天开一个流量包但是后来发现好像过来网还是用不了就想查一下是不是之前上网功能关掉然后没开 
为您服务 唉喂你好你好我就是我这个手我现在用的八十八还是九十八元套餐八十八是吧 结果什么八十八套餐 然后就是我用那个家庭宽带啊光纤的宽带行不行还是东方有线 
您好很高兴为您服务 唉你好呃您帮我看一下我这个月的套餐是什么 套餐是六十八的一g流量五十分通话超出打电话一毛九一分钟全国接听免费的 那为什么我收到了上个月的那个账单是八十八的呢 
您好兴您服务 你好我问一下我这个手机号码开通的那个月租是五十八的吗 对的 所以我那个时候就是买手机的时候开通的是三十五怎么验证那个五十八的呀 
您好很高兴为您服务 唉你好你现在可以帮我查一下我的手机是什么套餐 现在您是一个九十八套餐两百二十分钟通话一g流量的另外你有活动再送您一g本地流量和一g夜间流量另外一个来电提醒还有一个什么腾讯科技k六元包 就这么多然后之前是五十八五十八是什么多少分钟啊 
您好很高兴为您服务给我嗯那个我想问一下我的快到期了对吧嗯 这种活动已经没有了现在的话您要升级才能送话费升到一百零八签约一年每个月是送十六 好 才十六嗯现在送的很少只有买手机才会送的多就是那种活动没有了 
您好很高兴为您服务 哎你好像你你麻烦帮我查一下我这个宽带什么时候到期可以吗 就来电号办的这个宽带对吧 对的 
嗯嗯您好很高兴为您服务 唉你好麻烦帮我看一下我下个月还有多少流量因为好像是什么赠送的什么流量到期了什么什么的 啊对下个月就就是全国流量是两个g的然后我们现在有个呃活动这兆流量大狂欢活动是可以免费为您开开通然后可以送两个g本地流量还有俩还有一个g的夜间流量请问要帮您开一下吗 这个送两个g的呃是幺四 
您好很高兴为您服务 哎你好我想问一下那个四g套餐是不是升级了是吧 对的现在就是流量有多增加了像您现在是左右二百三十八的话对套餐里面是两个g全国流量另外送给你两个g的那个本地流量再送您一个g夜间流量嗯新的话就是三个g的全国流量送三个g超过了就是六个g跟原来有些不一样 噢就等于就等于全国流量就是加了四个g咯 
您好很高兴为您服务 你好我我现在是六十八块钱套餐是吧 嗯对六十八块钱套餐 然后然后刚包括五十分钟的免费通话还有两个g的流量是吧 
很高兴为您服务 对我我祝您 您好请说 昨天催促那个电话看看拜拜什么费用 
好很高兴为您服务 你好麻烦你帮我查一下我这个手机目前办理什么套餐那个流那个这笔什么套餐 这个是一个五十八的一百分通话五百兆流量另外叠加了一个二十块钱任我翻一点五g的流量包然后还有个三块钱来电提醒一个彩铃收费业务就这么多 嗯那个彩铃要收费的吗 
您好很高兴为您服务 唉你好你好呃幺零零幺零零八六啊我想问一下我这个手机现在用的那个是哪个套餐你能帮我查一下吗 噢好的套餐现在是有一个五十八飞享套餐另外有一个五元随意聊一共六十三块五十八里面是一百 嗯嗯嗯嗯我想把那个五十八套餐改一下能不能改能改的 
您好兴您服务您好 喂你好我想问问看我本地什么套餐 目前是什么卡八块钱套餐 你们还包括什么东西啊 
您好兴您服务 唉你好我这个手机有一个宽带绑定业务是吧 对是的看到了 噢那他那个现在有没有欠费之类的 
您好很高兴为您服务 喂 你好 哎我想问一下现在手机套餐是什么套餐啊 
您好很高兴为您服务 哎你好给我查一下我这个手机是什么套餐呢有没有参加过送话费 您是一个四十八元的四g飞享套餐没有参加过送话费或者送 那我现在能不能改那种之前的四g套餐呀 
买流量完了您好这边上海幺零零八六能听见我说话吗好的那这样您好您是要查询什么 呃我问一下我这个我们公司给我们给我开那个集团短号 短号没有开通 呃是什么原因是我这个号不能用不能开还是公司明天 
您好很高兴为您服务您好您好很高兴为您服务哦什么 喂你好我申请的那个五十兆宽带业务嘛就是家庭现在消费一百八十八对吧 好我帮您看一下噢你好这边的话更换的套餐是从下个月还是七十八块钱套餐呃一百分钟通话一个g流量 对的我不是有个家庭消费承诺我装了一个五十兆的宽带吗移动的吗 
您好很高兴为您服务您好 呃我想问一下我这边有一个说说我装什么移动宽带我没装过啊 您没有装过稍等您稍等一下我帮您查询一下 加一下恩咱已经成了刘哥号弄啊肯定是龙利是吧 
您好很高兴为您服务 喂你好我想请问一下我我不是开了两个彩铃吗 恩 我取消一个可以吗 
您好很高兴为您服务 唉你好 他们那个 我想问一下就是那个我在一七年一月份呃应该说一六年十二月份办了一个那个承诺消费送宽带的那个业务吗 
您好很高兴为您服务 嗯你好我问一下现在对对款多少钱 您现在就是五十八元的飞享套餐一百分钟五百兆流量超出打电话一毛九超出流量两毛九全国接听免费 五十八是吧 
的一个使用您好很高兴为您服务 喂你好那个你能帮我查一下这个我这个号码套餐吗 哪个手机号码 您这个手机号码 
您好很高兴为您服务 唉你好我想查一下我的手机不是绑了家庭套餐嘛我绑了几个手机啊 我看绑了两个 财宝了两个没有保三个 
您好很高兴为您服务 你好你们这个电话打有时候信号断了也不打过来了找哪一个那个你们那个工号也报走 是什么问题 王伟那个我刚才把那个办的那个流量加油包呢是吧他说我想我想是当月这个月就这几天我到下个月才给我上面显示什么短信然后下个月一直续费我不能 
您好很高兴为您服务 喂你好我想那个我请问一下我现在有什么套餐呢现在我这里面 在什么套餐 嗯嗯 
