诶你好你帮我查一下我本机号码 幺五零五九幺六四九幺六 好谢谢啊不客气祝您愉快再见 
唉小姐你好呃我说前前两天吗办了一个是幺零八的那个套餐的这个宽带的嗯我这个他给我那个密码我 我掉了嗯我所以我我明天把它他出来上门来装的装那个宽带的 幺零幺零零八六对吧对对然后这边我发给您了您待会发短信好了好的好的 
唉我那个服务密码忘了怎么设置他让我打幺零零八六 
唉我忘记服务密码了怎么弄 知道的 
你好我是装宽带师傅来了无法知道你们这个密码怎么怎么弄呢什么情况 业务嘛而且安装师傅发送什么开mp的呀怎么找到你们总台了用手用之前用我这个号码二三七啊对稍等我去错了在哎那就是无论大写 就是这个是开什么 
呃密码需要自己设置的您如果之前忘记的话我帮您接语音提示你重置一个新的好吗 语音台按四号键啊请不要挂机 
反正我反正再按一下四号键然后再办新的密码 
你好帮我看一下我服务密码的时候 噢对的 呃就张是移动 
您好喂你好 就是我这个号码不是三g的卡对吧 呃就是我我如果要换成四g的话我在上海能办理吗还是要回到国内那你那个当时登记的手机服务密码吗哎勇有服务密码就行了如果有的话 
呃您好我这边是交通银行的然后是这样的这位客户是在我们这边修改信息那现在改手机号码的话我们必须要实名认证的可以来问一下我先报一下名字您核对一下是否支持这个人的好嘛 噢它是呃查出的名字是叫马海平手机号码是幺五零幺三二五五七九对吗 恩好的那谢谢你啊其他没有日期 
喂请问我这个手机号的手机号的服务密码是多少 怎么设置呢 发什么 
我现在这个手机号码还是那个金卡联系吗 什么东西 四星级的我现在在手机营业厅我要打一个发票报销他说他说那个呃他们不能打的要凭什么身份证的你能跟她授权一下让我们让我打断拿一张纸质版的发票吗我要七月份的发票 
喂你好哦我的父我的这个号码的手机服务密码忘了我这 啊 
唉你好你帮我看一下呃我这个手机当时注册的时候呃是不是以公司名字才能注册的 那公司的话因为我这边要重置那个服务密码那我输入什么呢 申请编号 
你好唉我想问一下我的我的手机那个q开吗是多少服务密码 密码我忘记了 噢噢行那我身份证报给你暂时没了吧三四幺幺八块幺零 
噢帮我查一下手机实名制是幺三七七四二幺 五七九三 恩请问是在 
唉你好 那个我他说我手机怎么流量到时候是 正常的 
啊你好就想我想让你帮我查一个号码的那个机主 因为我们这不是公司办唉然后有一个号码不知道机主之前已经欠费了 噢这样要不知道那我把号码告诉你然后你但是我是不是我选择的两个姓名就可以了好吗 
唉你好呀我想问一下就是我我就是这个手机号码这个身份证办的金币接然后名下有几个移动电话 啊 一个小时呢那我要去哪里查呢就比如说我身份证名下办了几个号码我要怎么一个号我怎么查呢 
嗯三四幺二三零九八三幺二二六三七幺 好 
唉你好我是这个幺三九幺七二幺五二八的机主我的手机啊从昨天晚上你看是不是有那个一百多个未接电话 我都没好 哦好 
哼 哎你好我想核实一下电话的实名制号码报一下嗯幺三六 零幺七六零幺七六幺三零五 
你好帮我查询一下本机实名登记的户名是叫袁袁了吗 密码不知道先报下身份证号码 三幺零二二五一九九四幺零幺六四八二八 
唉小姐帮我查一下那个我手机密码 噢没有没有没有我现在那那卡都都不知道x 那时候按按什么事啊 
你们这好像客户的手机实名制那个情况嗯嗯好 手机号是幺三六五幺幺六八六 六五零幺零六幺九五二零六二二零八四零 
喂你好是这样的我有个号码麻烦你帮我查一下就是呃是公司公司名下的然后帮我看一下公司名下挂他是挂靠的是谁那个个人用户 幺五零零零零六八 五八三 
银行的过实名制的一个核实手机号码是幺八六 三二九五 对 
唉你好请帮我看一下本机号码那个机主姓名是叫承德取 嗯好的谢谢啊没有了没有再见 嗯不用了就确认一下姓名 
喂 
哎你好我想想让你帮我查一个号码就是说我昨天晚上大概十点多钟打过来一个号码是江苏苏州的幺五幺的 对打通了 噢好的好的谢谢啊 
啊您好先生就是你帮我看一下我这个手机号码是幺三八幺六零的对吧然后 这个是本机对我这个就是新开通那个上网 对今天开通上网功能你帮我看一下开通吗 
呃你好我这个手机那个服务密码是现在先充值一下 唉是的是的 呃知道 
就可以了 你好我想查一下这个号码是用私人身份证办的还是用企业的那个因为做人 是从原来吗对呃那帮我开通一下那个国际漫游气好的 
呃幺三七六四零七五九二三 呃机主呃不知道机主姓名是叫李伟身份证是四三零六八幺一九九零零八二五六四幺七 是的是吧 
唉你好请问一下我那个手机那个服务密码多少 呃我忘记了 
哎你好我想查一下我手机号的那个呃服务服务密码是多少 幺零六三 噢好谢谢啊 
呃您好这样的我是那个这边银行那边的就是我要验一下一个手机的实名号就是我报一下那个手机号和那个姓名身份证号能包您只要告诉我对 呃手机号是幺三九零零幺六九 呃姓名叫张敏号码申身份证号码是三幺零幺幺三幺九七六零九三零零零三零您看对吗 
本机号的服务密码是吧 您这边是有实名制登记过的对吧对 您可以发短信幺零六三发送到幺零零八六可以重置一下您的服务密码的 
呃你好请问一个移动客服啊 上海移动我现在这个有一个想问一下我想上网查一下我的什么那个呃账户情况他他要一个服务号码现在我不知道我这个号码服务密码如果您不知道的话是要 幺零六六幺零六三同事他说我用就就密码我没有密码怎么办啊不要这个密码的是要输入当时登记的身份证号码 
哎我想问一下我这个那个另外一 我想问一下我这个手机号码的六位密码 喂 
唉我就想查一下我身份证名下有有几个号码有哪几个手机号码 那我帮您身份证号你能不能查到的啊 那我如果噢这样子那我如果报你一个号码你能查到那个呃唉就有我有个号码很久没用了吗那我不知道你们是把他暂停了还是说还是放在我我的名下的 
没有了再见 
唉你好 你放心啊唉你好你好我这边是想核实一下这个手机号的名字 您呃名字叫九五是吧 
您好很高兴为您服务唉你好我我这个密码是多少这个手机号密码是无法查询的 名字登记的身份证号码知道吗但这到我好的 好好好谢谢 
哎你好我想我想问一下我这个号码能看的出的密码是多少 输入密码 对对对 
唉你好问一下我这个手机号码的服务密码是多少 就是幺零六三 噢好好好的好 
唉您好你你能帮我查一下我这个手机这个咨询一下密码是多少 就就是我身份证号知道我知道了 呃就这个我我我这个本机卡号手机号的那个运营商吗 
喂你好我那个我我想查一下我的那个服务密码服务密码记不得了 嗯啊 按天按井号键按次行好的 
哎你好我想问一下就是我那个积分我积分我不是要换东西嘛他让我咨询那个客服密码什么意思啊 不客气知道呀 不是我因为我我这个是那个我说别人的手机 
唉小姐你好就是我麻烦问一下我手机号是幺三六幺幺九九八六幺六的服务密码是多少 好的谢谢啊嗯好谢谢嗯再见 
唉你好是这样子就是我这边有一个手机号然后想查询一下就是当时注册的是哪个人注册的 幺八二 二幺幺五幺八五 
唉你好帮我查一下我来电的这个号码用户名是不是叫完全 三幺零 幺零八 
唉先生你好我是赤峰路民路四百七十一弄十二号上网的用户我的wifi密码忘了 重新修改 说幺三 
您好很高兴为您服务你好你帮我查啊你帮我查一下这个这个我们这个服务密码是多少说这个手机的密码是多少密码自己设置的身份证号码知道吗密码是自己测嗯 身份证号码知道 噢那三十兆 
唉你好那个积分里面的换掉然后他要用验证码然后数密码是什么密码 啊那那他他发过来就是说这栋动态密码是不是那个密码 那我我刚才是语音提示幺零零八六按四号键他就给我一个动态密码送那边还是什么密码 
唉你好噢是这样的我刚刚在我的手机最好就弄了一个sim卡锁定然后我现在电话什么都打不出去要打幺零零八六然后问一个什么puk密码手机号码告诉我啊幺三九 幺八三二 七七二八 
你好我想核实一下这个手机号码的实名制 名字叫周明年身份证是三幺零幺零幺幺九四八零八二二幺六七 好谢谢啊 
呃你好我手机服务密码多少帮我查询一下 好 不要了谢谢 
呃你帮我查一下我的手机是不是我给您的名字嗯嗯 身份证号是吧 三幺零幺零六幺九六七零四零四三二幺四 
喂你好我想问一下我在网上那个积分兑换的时候它要有一个客服密码我不知道是什么都不记得有这个密码了 呃它要有一个客服密码 呃信身份证号 
哎你好我想咨询一下我的那个要默认的幺三九邮箱密码是多少呀 不是他不是会有一个默认邮箱吗那我登录的时候给我并不知道密码呀还是 呃就是说没有没有初始的默认密码对 
早上好很高兴为您服务你好 到我想问一下那个上海咱们上海那个移动电话号的那个初始密码是多少 是当时吧 
噢帮我看一下这个电话的实名制 幺三六 幺幺九六 
您好兴您服务您好唉你好这个密码属于是什么密码 不知道我刚这个号码是刚办理的 那我如果不用这个密码呢 
啊您好核查一下实名去嗯 呃呃手机号是幺三八 幺六八二 
那行 是什么情况 我要那个呃你刚刚说更改到八十八元套餐的话要那个公司名称和什么证件号啊 
我想我能查查一下我那个宽带的账号和密码 呃 啊对 
